title,artist,lyrics,mood
Kendine İyi Bak,Ahmet Kaya,"Yan yana geçen geceler unutulup gider mi? Acılar birden biter mi? Bir bebek özleminde seni aramak var ya Bu hep böyle, böyle gider mi? Bir bebek özleminde seni aramak var ya Bu hep böyle, böyle gider mi? Suya hasret çöllerde beyaz güller biter mi? Dikenleri göğü deler mi? Bir menekşe kokusunda seni aramak var ya Bu hep böyle, böyle gider mi? Bir menekşe kokusunda seni aramak var ya Bu hep böyle, böyle gider mi? Kendine iyi bak, beni düşünme Su akar yatağını bulur Kendine iyi bak, beni düşünme Su akar yatağını bulur Kendine iyi bak, beni düşünme Su akar yatağını bulur Kendine iyi bak, beni düşünme Su akar yatağını bulur İçimdeki fırtına, kör kurşunla diner mi? Kavgalar kansız biter mi? Bir mavzer çığlığında seni aramak var ya Bu hep böyle, böyle gider mi? Bir mavzer çığlığında seni aramak var ya Bu hep böyle, böyle gider mi?  Şu kahpe Dünya seni bana düşman eder mi? Dostluklar birden biter mi? Bir kardeş selamında seni aramak var ya Bu hep böyle, böyle gider mi? Bir kardeş selamında seni aramak var ya Bu hep böyle, böyle gider mi? Kendine iyi bak, beni düşünme Su akar yatağını bulur Kendine iyi bak, beni düşünme Su akar yatağını bulur Kendine iyi bak, beni düşünme Su akar yatağını bulur Kendine iyi bak, beni düşünme Su akar yatağını bulur",üzgün
Affet,Müslüm Gürses,"Eğer seni kırdıysam darıl bana Ama bir gün beni ararsan bak ruhuna Birden gecem tutarsa güneşi çevir bana Sevgilim bağışla biraz zor olsa da Affet beni akşamüstü gölgem uzarken Öğleden sonra affet ne zaman istersen Affet beni gece vakti ay doğmuş süzülürken Sabaha kalmadan affet tam ayrılık derken Çünkü sen çölüme yağmur oldun Sen, geceme gündüz oldun Sen, canıma yoldaş oldun Sen, kışıma yorgan oldun Eğer seni kırdıysam darıl bana Ama bir gün beni ararsan bak ruhuna Birden gecem tutarsa güneşi çevir bana Sevgilim bağışla biraz zor olsa da  Affet beni akşamüstü gölgem uzarken Sabaha kalmadan affet tam ayrıldık derken Çünkü sen çölüme yağmur oldun Sen, geceme gündüz oldun Sen, canıma yoldaş oldun Sen, kışıma yorgan oldun Çünkü sen çölüme yağmur oldun Sen, geceme gündüz oldun Sen, canıma yoldaş oldun Sen, kışıma yorgan oldun3",üzgün
Kum Gibi,Ahmet Kaya,"Martılar ağlardı çöplüklerde Biz seninle gülüşürdük Martılar ağlardı çöplüklerde Biz seninle gülüşürdük Şehirlere bombalar yağardı her gece Biz durmadan sevişirdik Şehirlere bombalar yağardı her gece Biz durmadan sevişirdik Acımasız olma şimdi bu kadar Dün gibi, dün gibi çekip gitme Bırak da sarılayım ayaklarına Kum gibi, kum gibi ezip geçme Acımasız olma şimdi bu kadar Dün gibi, dün gibi çekip gitme Bırak da dolanayım ayaklarına Kum gibi, kum gibi ezip geçme Sonbahar damlardı damlarımıza Biz seninle sararırdık Sonbahar damlardı damlarımıza Biz seninle sararırdık  Aydınlansın diye şu kirli yüzler Biz durmadan şavaşırdık Aydınlansın diye şu kirli yüzler Biz durmadan şavaşırdık Acımasız olma şimdi bu kadar Dün gibi, dün gibi çekip gitme Bırak da sarılayım ayaklarına Kum gibi, kum gibi ezip geçme Acımasız olma şimdi bu kadar Dün gibi, dün gibi çekip gitme Bırak da dolanayım ayaklarına Kum gibi, kum gibi ezip geçme",üzgün
İlle De Sen,Azer Bülbül,"Canımı canına katarcasına Ömrümü uğrunda harcarcasına Deliler gibi muhtacım sana İlle de sen, ille de sen Canımı canına katarcasına Ömrümü uğrunda harcarcasına Deliler gibi âşığım sana İlle de sen, ille de sen Şu gönlüne bir girsem Dünyalar benim olur Sensizlik çok zor geliyor bana İlle de sen, ille de sen Sensizlik çok zor geliyor bana İlle de sen, ille de sen Şu gönlüne bir girebilsem İlle de sen, ille de sen Şu kalbini çalabilsem İlle de sen, ille de sen  Canımı canına katarcasına Ömrümü uğrunda harcarcasına Deliler gibi vurgunum sana İlle de sen, ille de sen Canımı canına katarcasına Ömrümü uğrunda, hey, harcarcasına Hey, deliler gibi vurgunum sana İlle de sen, ille de sen Şu gönlüne bir girebilsem Dünyalar benim olur Sensizlik çok zor geliyor bana İlle de sen, ille de sen Sensizlik zor geliyor bana İlle de sen, ille de sen Şu gönlüne bir girebilsem İlle de sen, ille de sen Şu kalbini çalabilsem İlle de sen, ille de sen Şu gönlüne bir girebilsem İlle de sen, ille de sen Şu kalbini bi' çalabilsem İlle de sen, ille de sen",üzgün
Sigara,Müslüm Gürses,Emeklemeden koşmayı Güzel elbiselerle Makyaj yapıp dolaşmayı Aslında bende isterim Düşünmeden konuşmayı Küçük bir oyun içinde Önemli kişi olmayı Aklımdan geçen sözler Kalbimden gelen sesler Hepsi bir orman oldu Bir kibritle yok oldu Ben sigara dumanının altında Yana yana en sonunda kül oldum Sen kibritin hiç yanmayan ucunda Birinin hayatından geçmiş oldun Aslında bende isterim Emeklemeden koşmayı Güzel elbiselerle Makyaj yapıp dolaşmayı Aslında bende isterim Düşünmeden konuşmayı Küçük bir oyun içinde Önemli kişi olmayı  İyi dostlar biriktirdim Hepsi ailem oldu Küçük bir aşk yetiştirdim Düzene yenik düştüm Ben sigara dumanının altında Yana yana en sonunda kül oldum Sen kibritin hiç yanmayan ucunda Birinin hayatından geçmiş oldun1,üzgün
Paramparça,Müslüm Gürses,"Tam olarak bilemem Biraz bira, biraz şarap önceydi Nasıl oluyor zaman bir türlü geçmezken Yıllar hayatlar geçiyor Takatim yok yine de telefon sarıldım Son bir özür için Tüm sevdiğim kadınlardan Çok mu ayıp hala mutluluk istemek Neyse zaten hiç halim yok Bugün benim doğum günüm Hem sarhoşum hem yastayım Bir bar taburesi üstünde Babamın öldüğü yaştayım Bugün benim doğum günüm Kelimeler büyüyor ağzımda Bildiğim bütün hayatlar Paramparça paramparça Bugün benim doğum günüm Hem sarhoşum hem yastayım Bir bar taburesi üstünde Babamın öldüğü yaştayım  Bugün benim doğum günüm Kelimeler büyüyor ağzımda Bildiğim bütün hayatlar Paramparça paramparça1",üzgün
Delikanlım,Yıldız Tilbe,"Açılır sonsuz kere yoluna güllerim Koparıp atsan da solmaz gönlüm, nafile Yokluğun soğuk, tenine susadı tenim Üşüdüm, yorgan misali seril üstüme Geceler boyu sevişmelerimiz bitmesin Gölgesi düşsün saçlarına aşk ateşimin Sakınıp sakla, güneşim ol, al ısıt beni Yüzünün sıcak kokusu kalsın ellerimde Kalbim duraksız haykırışlarda Ne yapsan ayrılamam senden asla Hafife alma, aşk vurur insana Bu kadar kolay sanma, delikanlım Kalbim duraksız haykırışlarda Ne yapsan ayrılamam senden asla Hafife alma, aşk vurur insana Bu kadar kolay sanma, delikanlım Açılır sonsuz kere yoluna güllerim Koparıp atsan da solmaz gönlüm, nafile Yokluğun soğuk, tenine susadı tenim Üşüdüm, yorgan misali seril üstüme  Geceler boyu sevişmelerimiz bitmesin Gölgesi düşsün saçlarına aşk ateşimin Sakınıp sakla, güneşim ol, al ısıt beni Yüzünün sıcak kokusu kalsın ellerimde Kalbim duraksız haykırışlarda Ne yapsan ayrılamam senden asla Hafife alma, aşk vurur insana Bu kadar kolay sanma, delikanlım Kalbim duraksız haykırışlarda Ne yapsan ayrılamam senden asla Hafife alma, aşk vurur insana Bu kadar kolay sanma, delikanlım Kalbim duraksız haykırışlarda Ne yapsan ayrılamam senden asla Hafife alma, aşk vurur insana Bu kadar kolay sanma, delikanlım",üzgün
Nereden Bileceksiniz,Ahmet Kaya,"Üstüm-başım toz içinde Önüm-arkam pus içinde Sakallarım pas içinde(x4)Siz benim nasıl yandığımı Ner'den bileceksiniz? Bir fidandım, derildim Fırtınaydım, duruldum Yoruldum, çok yoruldum(x4)Siz benim neler çektiğimi Ner'den bileceksiniz? Taş duvarlar yıkıp geldim Demirleri söküp geldim Hayatımı yakıp geldim hey Taş duvarlar yıkıp geldim Demirleri söküp geldim Hayatımı yıkıp geldim hey  (x2)Siz benim neden kaçtığımı Ner'den bileceksiniz? Gökte yıldız söner şimdi Annem beni anar şimdi Sevdiğim var, kanar şimdi(x4)Siz benim niye içtiğimi Ner'den bileceksiniz? Bir pınardım kan oldum Yol kenarı han oldum Yanıldım ah, ziyan oldum(x4)Siz benim neden sustuğumu Ner'den bileceksiniz?(x2)Ben ardımda yaş bıraktım Ağlayan bir eş bıraktım Sol yanımı boş bıraktım, hey(x4)Siz benim kime küstüğümü Ner'den bileceksiniz?",üzgün
Söyle,Ahmet Kaya,"Söyle, yağmur çamur Değmedi yüreğime Şimdi ben ner'deyim Sen ner'de? Söyle, ay doğmadan Düşmesin yaş gözüme Şimdi ben ner'deyim Sen ner'de? Dışarıda kar yağıyor Benim içime yağmur Ağlama gözbebeğim Biraz daha dur Yüreğime basa basa İçimden yar gidiyor Ağlama iki gözüm Biraz daha dur(x2)Ay, ay, ay, ay Ay, ay, ay, ay Ay, ay, ay, ay Yanıyor ömrüm  Vallah yağmur çamur Değmedi yüreğime Söyle, ben ner'deyim Sen ner'de? Söyle, ay doğmadan Düşmesin yaş gözüme Söyle, ben ner'deyim Sen ner'de?(x2)Söyle, yağmur söyle Değmeden yüreğime Söyle gökyüzüne O ner'de? Söyle, ay doğmadan Düşmesin yaş gözüme Söyle gökyüzüne O ner'de?(x2)Ay, ay, ay, ay Ay, ay, ay, ay Ay, ay, ay, ay Yanıyor ömrüm(x2)Söyle, baksın gece Dağlardan hasretime Söyle, bilmesen de O ner'de",üzgün
Arka Mahalle,Ahmet Kaya,"Ağladım, göz yaşlarım döndü denize Ben derdimi kimseye söyleyemedim Kurşunlara gelirken arka mah'lede Düştüm de yerlere bir ""of"" demedim Kurşunlara gelirken arka mah'lede Düştüm de yerlere bir ""of"" demedim Başıma neler geldi sana diyemedim Beni kaçkere dövdüler Adını söylemedim Başıma neler geldi sana diyemedim Beni kaçkere vurdular Adını söylemedim of, of, of, of, of, of, of Yıkılsın evin Ağladım, gözyaşlarım düştü ateşe Yine de bu yangını söndüremedim Bağıra bağıra yazdım seni içime Bir kez olsun yüzünü güldüremedim Bağıra bağıra yazdım seni içime Bir kez olsun yüzünü güldüremedim  Başıma neler geldi sana diyemedim Beni kaçkere dövdüler Adını söylemedim Başıma neler geldi sana diyemedim Beni kaçkere vurdular Adını söylemedim of, of, of, of, of, of, of Yıkılsın evin",üzgün
