artist,song_title,lyrics,mood
Tarkan,Kuzu Kuzu,"Kuzu Kuzu Bak Kırıldı kolum kanadım Olmadı, tutunamadım Zor Yokluğun çok zor, alışamadım Vur Vur bu akılsız başı Duvarlara, taşlara vur sevabına Sonra affet, gel bas bağrına Süzüldüm, eridim, sensiz olamadım (Kuzu kuzu, kuzu kuzu, kuzu kuzu, kuzu kuzu) İşte kuzu kuzu geldim Dilediğince kapandım dizlerine Bu kez gururumu ateşe verdim, yaktım da geldim İster at, ister öp beni ama önce dinle bak gözlerime İnan, bu defa Anladım durumu, tövbeler ettim Vur Vur bu akılsız başı Duvarlara, taşlara vur sevabına Sonra affet, gel bas bağrına Süzüldüm, eridim, sensiz olamadım (Kuzu kuzu, kuzu kuzu, kuzu kuzu, kuzu kuzu) İşte kuzu kuzu geldim Dilediğince kapandım dizlerine Bu kez gururumu ateşe verdim, yaktım da geldim İster at, ister öp beni ama önce dinle bak gözlerime İnan, bu defa Anladım durumu, bil Tövbeler ettim (Kuzu kuzu, kuzu kuzu, kuzu kuzu, kuzu kuzu) Of, of Acı biberler sür dilime, dudaklarıma (Kuzu kuzu, kuzu kuzu, kuzu kuzu, kuzu kuzu) İşte kuzu kuzu geldim Dilediğince kapandım dizlerine Bu kez gururumu ateşe verdim, yaktım da geldim İster at, ister öp beni ama önce dinle bak gözlerime İnan, bu defa Anladım durumu, tövbeler ettim İşte kuzu kuzu geldim Dilediğince kapandım dizlerine Bu kez gururumu ateşe verdim, yaktım da geldim İster at, ister öp beni ama önce dinle bak gözlerime İnan, bu defa Anladım durumu, tövbeler ettim",mutlu
Kenan Doğulu,Çakkıdı,"Çakkıdı Buralardan hemen gidesim var Yeniden başlamak hevesim var Ne varsa attım içime Cart diye diyesim var Katlanıyoruz herkes gibi malum E açıklarımız kaçıklarımız var Ama hem kel hem fodul takımını Hart diye yiyesim var Çat diye çatlamak üzereyim Neresinden tutup da düzeleyim? Ortağı olmuşum düzeneğin Kendimi boğasım var Çat diye çatlamak üzereyim Neresinden tutup da düzeleyim Ortağı olmuşum düzeneğin Herkesi oyasım var Aman be hadi kalk kaynaşalım kız Çakkıdı çakkıdı oynaşalım kız Azıcık alttan, azıcık üstten Hoppidi hoppidi hoplatalım kız Aman be hadi kalk kaynaşalım kız Çakkıdı çakkıdı oynaşalım kız Azıcık alttan, azıcık üstten Hoppidi hoppidi hoplatalım kız Bunlar benim fikrim mi? Kısa metraj filmim mi? İrfanım mı ilmim mi? Yuh diye sövesim var Zihin oyunlarım mı? Resmi duyumlarım mı? Koyun uyumlarım mı? Kah kah gülesim var Çat diye çatlamak üzereyim Neresinden tutup da düzeleyim? Ortağı olmuşum düzeneğin Kendimi boğasım var Çat diye çatlamak üzereyim Neresinden tutup da düzeleyim Ortağı olmuşum düzeneğin Herkesi öpesim var Aman be hadi kalk kaynaşalım kız Çakkıdı çakkıdı oynaşalım kız Azıcık alttan, azıcık üstten Hoppidi hoppidi hoplatalım kız Aman be hadi kalk kaynaşalım kız Çakkıdı çakkıdı oynaşalım kız Azıcık alttan, azıcık üstten Hoppidi hoppidi hoplatalım kız Hiç umut yok mu? Her şey boş mu? Dünya âlem Dut gibi sarhoş mu? Aman be hadi kalk kaynaşalım kız Çakkıdı çakkıdı oynaşalım kız Azıcık alttan, azıcık üstten Hoppidi hoppidi hoplatalım kız Aman be hadi kalk kaynaşalım kız Çakkıdı çakkıdı oynaşalım kız Azıcık alttan, azıcık üstten Hoppidi hoppidi hoplatalım kız Çat diye çatlamak üzereyim Neresinden tutup da düzeleyim? Ortağı olmuşum düzeneğin Kendimi boğasım var Çat diye çatlamak üzereyim Neresinden tutup da düzeleyim Ortağı olmuşum düzeneğin Herkesi öpesim var (He-he-he-he)",mutlu
Ajda Pekkan,Yaz Yaz Yaz,"Yaz Yaz Yaz LyricsDuygular var her zaman kolay paylaşılmaz Öyle anlar yaşanır bir ömürde yaşanmaz İyi düşün sevgilim, yıkılan köprüler Kolay onarılmaz Duygular vardır insan yaşadığına inanmaz Direnmek ister önce tutsak olur kurtulmaz İyi düşün sevgilim korkudan gidiyorsun Değişen birşey olamaz Tenimde daha hala tenin kokusu var Üstüme sinmiş bütün yaşanan o duygular Odamın her köşesi kokuyor hala seni Buram buram Yıkarsan yazık olur, gidersen yazık olur İki kez yaşanamaz, tüm duygular kaybolur İyi düşün sevgilim, biterse böyle bir aşk Yazık olur",mutlu
Nil Karaibrahimgil,Pırlanta,"Pırlanta LyricsParan cebinde kalsın Bırak artık, rahatsın Bu kız mal mülkü n'aapsın? Çalışır, yapar Tektaşını almış Tam turunu atmış Yüreğin kaç karatmış? Bu kız onu sorar Sağ eller havaya Pırlantalar buraya Tektaşımı kendim aldım, tek başıma kendim taktım Girmesinler havaya İyi kötü kazanırım para Ama kalptir asıl kumbara Bi' sevgilim yoksa kollarımda N'apiy'm pırlantayı parmağımda? İyi kötü kazanırım para Ama kalptir asıl kumbara Bi' sevgilim yoksa kollarımda N'apiy'm pırlantayı parmağımda? Sağ eller havaya Pırlantalar buraya Tektaşımı kendim aldım, tek başıma kendim taktım Girmesinler havaya Olur bir gün şan, şöhret, ün, para Ama aşk her gün karaborsada Bi' sevgilim yoksa kollarımda N'apiy'm pırlantayı parmağımda? Olur bir gün şan, şöhret, ün, para Ama aşk her gün karaborsada Bi' sevgilim yoksa kollarımda N'apiy'm pırlantayı parmağımda? Sağ eller havaya Pırlantalar buraya Tektaşımı kendim aldım, tek başıma kendim taktım Girmesinler havaya Cebindeki kalsın sana Sol üst köşeden harca bana Pırlantamı aldım ama Pırlanta gibi kalp lazım bana Sağ eller havaya Pırlantalar buraya Tektaşımı kendim aldım, tek başıma kendim taktım Girmesinler havaya Sağ eller havaya Pırlantalar buraya Tektaşımı kendim aldım, tek başıma kendim taktım Girmesinler havaya Sağ eller havaya Pırlantalar buraya",mutlu
Sezen Aksu,Hadi Bakalım,"Hadi Bakalım Yerimiz mi dar yoksa yenimiz mi dar? Ne var? (Ne var, ne var?) Uçurmuş herkes, o da kim oluyor? Sen kimsin, kim bunlar? En büyük kim? Hadi bakalım kolay gelsin Bir acayip zor yarış Bana ne aman, ben anlamam Pek hesaplı, ince iş Hadi bakalım kolay gelsin Bir acayip zor yarış Bana ne aman, ben anlamam Pek hesaplı, ince iş Sen seni bil sen seni Sen sıkı tut çeneni Eline, diline hâkim ol Sonra öcüler yer seni Sen seni bil sen seni Sen sıkı tut çeneni Eline diline hâkim ol Dikkat Ah, içimizde ne aç hevesler Arada hicaz, arada caz nefesler Bir yanımız her duruma müsait Ne kadar uyarsa o kadar ister Ah, içimizde ne aç hevesler Arada hicaz, arada caz nefesler Bir yanımız her duruma müsait Ne kadar uyarsa o kadar ister Ah Yerimiz mi dar yoksa yenimiz mi dar? Ne var? (Ne var, ne var?) Uçurmuş herkes, o da kim oluyor? Sen kimsin, kim bunlar? En büyük kim? Hadi bakalım kolay gelsin Bir acayip zor yarış Bana ne aman, ben anlamam Pek hesaplı, ince iş Hadi bakalım kolay gelsin Bir acayip zor yarış Bana ne aman, ben anlamam Pek hesaplı, ince iş Sen seni bil sen seni Sen sıkı tut çeneni Eline, diline hâkim ol Sonra öcüler yer seni Sen seni bil sen seni Sen sıkı tut çeneni Eline diline hâkim ol Dikkat Ah, içimizde ne aç hevesler Arada hicaz, arada caz nefesler Bir yanımız her duruma müsait Ne kadar uyarsa o kadar ister Ah, içimizde ne aç hevesler Arada hicaz, arada caz nefesler Bir yanımız her duruma müsait Ne kadar uyarsa o kadar ister Ah",mutlu
Athena,Serseri Mayın,"Serseri Mayın Serseri mayın Kaynar gönlüm boş ise Efkâr aldı başımı Bakma sen güldüğüme Terk edildim, terk edildim Bu yüzsüz kalbime Uçurtma hâlime Bana da yazıklar olsun O-oh Yaralıyım ezelden Bıkmış yalanlar bile Aç kurtlar yedi beni Sen de söyle, sen de söyle Unutulacaksın, unutulacaksın Yalansa tükür yüzüme Yalansa söyle Bir sevgilim olsa Giderim balayına Ooo, balayına Ah, bir de bekarsam Giderim alayına, (Giderim ben) alayına Bir sevgilim olsa Giderim balayına Ooo, balayına Ah, bir de bekarsam Giderim alayına (Giderim ben) alayına, ıh Kimsenin olamadım Sana hiç doyamadım Serseri mayın gibi Adını hiç koyamadım Bu yüzsüz kalbime Uçurtma halime Bana da yazıklar olsun Yaralıyım ezelden Bıkmış yalanlar bile Aç kurtlar yedi beni Sen de söyle, sen de soyle Unutulacaksın, unutulacaksıin Yalansa tukur yüzüme Yalansa söyle Ey, ey Bir sevgilim olsa Giderim balayına Ooo, balayına Ah, bir de bekarsam Giderim alayına, (Giderim ben) alayına Bir sevgilim olsa Giderim balayına Ooo, balayına Ah, bir de bekarsam Giderim alayına (Giderim ben) alayına, ıh Ih Ih Ih Bir sevgilim olsa Giderim balayına Balayına Ah, bir de bekarsam Giderim alayına, (Giderim ben) alayına Bir sevgilim olsa Giderim balayına Balayına Ah, bir de bekarsam Giderim alayına (Giderim ben) alayına, ıh",mutlu
Yalın,Küçücüğüm,"Küçücüğüm LyricsHiç özlemediğim kadar özlüyorum bu aralar seni Niye bilmiyorum ama ben sadece senle mutluyum Ah şu gönül gözünden görmek dedikleri var ya Seni her halinle seviyorum Beraber uyansak Bütün gün sarılsak Bana yetmez O ana dünyaları değişmem Küçücüğüm, her şeyim Ne olur çok uzaklara gitme Gidersen öleceğim Karanlığa döneceğim, of Küçücüğüm, her şeyim Ne olur çok uzaklara gitme Gidersen öleceğim Karanlığa döneceğim, of Hiç özlemediğim kadar özlüyorum bu aralar seni Niye bilmiyorum ama ben sadece senle mutluyum Ah şu gönül gözünden görmek dedikleri var ya Seni her halinle seviyorum Beraber uyansak Bütün gün sarılsak Bana yetmez O ana dünyaları değişmem Küçücüğüm, her şeyim Ne olur çok uzaklara gitme Gidersen öleceğim Karanlığa döneceğim, of Küçücüğüm, her şeyim Ne olur çok uzaklara gitme Gidersen öleceğim Karanlığa döneceğim, of Beraber uyansak Bütün gün sarılsak Bana yetmez O ana dünyaları değişmem Küçücüğüm, her şeyim Ne olur çok uzaklara gitme Gidersen öleceğim Karanlığa döneceğim, of Küçücüğüm, her şeyim Ne olur çok uzaklara gitme Gidersen öleceğim Karanlığa döneceğim, of",mutlu
Demet Akalın,Türkan,Türkan LyricsKim bilir gelen geçen ne diyor hâlime ben Ben değilim bugünlerde Yediğim nanelerin haddi hesabı yok şişenin dibindeyim Çok mutsuzum çok çok çok Kendiliğinden gelsen ne olur aramıyorum yiğitlikten Sendeki sabır da mübarek paslanmaz çelikten Dün gece birkaç film seyrettim canım çıktı ağlamaktan O Türkan yok mu ahh o Türkan Yine öptürmedi dudaktan,mutlu
Hadise,Aşk Kaç Beden Giyer,"Aşk Kaç Beden Giyer Aşk kaç beden giyer? (Yeah, yeah, yeah) Aşk kaç beden giyer? (Yeah, yeah, yeah) Aşk kaç beden giyer? (Yeah, yeah, yeah) A-A-A-Aşk kaç beden giyer? (Yeah, yeah, yeah) Seversen yanılmadan, korkmadan, korunmadan Döktüğün o yaşsa da ah, mah olmaz (Yeah, yeah, yeah) Gerçeğiyse duygunun, aldanışlara kanmaz Aşk demek emek demek, vah vah olmaz (Yeah, yeah, yeah) Ten taşırsa hisleri, yaşarsa sisleri, kalp ""Bur'da"" der mi? (Yeah, yeah, yeah) O yabancı sözlere, yalancı gözlere güm güm eder mi? Bi' kalp kaç defa sever? Or'da bana da var mı yer? Söylesene sevgilim, aşk kaç beden giyer? (Yeah, yeah) Her bedeni aşk sanan kaç tene o can değer? Aldatansa, sevgilim, bu oyunu kaybeder (Yeah, yeah, yeah) (A-A-A-Aşk kaç beden giyer?) Seversen yanılmadan, korkmadan, korunmadan Döktüğün o yaşsa da ah, mah olmaz (Yeah, yeah, yeah) Gerçeğiyse duygunun, aldanışlara kanmaz Aşk demek emek demek, vah vah olmaz (Yeah, yeah, yeah) Ten taşırsa hisleri, yaşarsa sisleri, kalp ""Bur'da"" der mi? (Yeah, yeah, yeah) O yabancı sözlere, yalancı gözlere güm güm eder mi? Bi' kalp kaç defa sever? Or'da bana da var mı yer? Söylesene sevgilim, aşk kaç beden giyer? (Yeah, yeah) Her bedeni aşk sanan kaç tene o can değer? Aldatansa, sevgilim, bu oyunu kaybeder (Yeah, yeah, yeah) Bi' kalp kaç defa sever? Or'da bana da var mı yer? Söylesene sevgilim, aşk kaç beden giyer? (Yeah, yeah) Her bedeni aşk sanan kaç tene o can değer? Aldatansa, sevgilim, bu oyunu kaybeder (Yeah, yeah, yeah) Söyle hadi, durma, aşk kaç beden giyer? Söyle hadi, durma-a-a, aşk kaç beden giyer? (Yeah, yeah, yeah) (A-ah) Internationally known (A-ah-a-ah), Miss Hadise (Ah) Aşk kaç beden giyer? (Yeah, yeah, yeah) We'll be layin' it down (A-ah, a-ah-a-ah) Street Fabulous (A-ah) Aşk kaç beden giyer? (Yeah, yeah, yeah) (Yeah, yeah, yeah) (A-A-A-Aşk kaç beden giyer?) (Yeah, yeah, yeah) (Yeah, yeah, yeah) (Yeah, yeah, yeah)",mutlu
Sertab Erener,Sakin Ol,"Sakin Ol Of, bu ne sinir? Bu ne öfke? Aman, bir telaş, bir acele Herkes birbirini boğacak, bu gidişle sonumuz ne olacak? Kimi takmış alaturkaya, kimi batıdan şikayetçi Ne var sanki bunda kızacak? Dünya hali bu gelip geçici Hişt, hişt, sakin ol, sinirlerine hakim ol Hişt, hişt, sakin ol, sinirlerine hakim ol Kimi lahmacundan utanır, kimi her önüne gelene gıcık Ya uzak herkes birbirine, ya ilişkiler vıcık vıcık Kimi entellere düşman, kiminden cehalete prim Bu ne manasız didişme? Kimse kimseye bir şey öğretemez mirim Hişt, hişt, sakin ol, sinirlerine hakim ol Hişt, hişt, sakin ol, sinirlerine hakim ol Aaah Ölümlü dünya, ölümlü insan Ha alim olsan ha zalim olsan Ölümlü dünya, ölümlü insan Ha alim olsan ha zalim olsan Hişt, hişt, sakin ol, sinirlerine hakim ol Hişt, hişt, sakin ol, sinirlerine hakim ol Herkesin doğrusu en doğru, herkesin lafı bir hikmet Sıradan şeyler de konuşalım, iş mi yani birbirimizi yemek? İlle de kusursuz olmalı, hata yapmaya da hakkımız yok Üçüncü şahıslar için herkes sancılar içinde, bu kadarı da çok Hişt, hişt, sakin ol, sinirlerine hakim ol Hişt, hişt, sakin ol, sinirlerine hakim ol Aaah Ölümlü dünya, ölümlü insan Ha alim olsan ha zalim olsan Ölümlü dünya, ölümlü insan Ha alim olsan ha zalim olsan Ölümlü dünya, ölümlü insan Ha alim olsan ha zalim olsan Ölümlü dünya, ölümlü insan Ha alim olsan ha zalim olsan Hişt, hişt, sakin ol, sinirlerine hakim ol Hişt, hişt, sakin ol, sinirlerine hakim ol Hişt, hişt, sakin ol, sinirlerine hakim ol Hişt, hişt, sakin ol, sinirlerine hakim ol Hişt, hişt, sakin ol",mutlu
