artist,song_title,lyrics_clean_ascii,mood
Sezen Aksu,Ablam Aşktan Öldü,ablam asktan oldu her sey filmlerdeki gibi oldu bir hazan yapragi duserken pencereye bakarak son nefesini verdi mucize sevgililer bulusamadi hayat or'da o kiyida masalin berisinde kaldi hic yara almadan aynadan gecemezsin gecemezsin aynadan asktan olmenin bin yillik tarihini ablam yeniden ama yeniden yazdi,
Sezen Aksu,Acıtmışım Canını Sevdikçe,hani yangin yerinde sevmistim ben seni darmadagin aksamlarda bir avuc kul uzattin bense kirik bir cam yikintilar arasinda ah neden korktum bir uyandim ki artik yoktun uzanip essiz hatirandan optum meger nasil da aci nasil da gece kanatmisim yarani sevdikce meger nasil karanlik ne beyhude acitmisim canini sevdikce birakip gittin yok olup yittin gozlerindeki huzun huzun bak siliniyor yuzun yuzun karanlik gozlerinden opmustum ben seni paramparca aksamlarda isinmistik birlikte bu soguk dunyada,
Sezen Aksu,Adem Olan Anlar,ben bu dunyaya bir turlu alisamadim bu yuzden insan icine karisamadim bana mi sordunuz adimi koyarken bir kustum bir daha barisamadim uyumlu faniler bana uyumsuz derler delirttiniz beni ey ehveni serler uzlasirsam namerdim atese verseler garanti muhabbetlere yilisamadim mmh mmh mmh mmh mmh ha desen olmaz ah ah desen olmaz birine uysa oburune uymaz yalelli yalelli yalelli o zaman suruden ayrilanlari kurtlar yer arkani saglama al ey akilli beser ben catlarim kurallara uyarsam eger ruhumu seytanla bolusemedim herkesin munasip birer dayisi var eh i̇nsanoglu bu iyisi ayisi var benim zarar bildigim el âleme kâr adamini bulup da uyusamadim ihh ihh ihh ihh ihh ben seni de sevmedim âdem dogruyu duymak istiyorsun madem alt tarafi bir elma yedik beraber zehir zikkim oldu bize bal badem,
Sezen Aksu,Adı Bende Saklı,bolunur sanciyla uykular siginak degil en kuytular gokte ay on dort ben dolunay son hatirani sinene say bu kadarina raziyim yâr uzak diyarlarda evli barkli mutluluk en cok onun hakki bu yorgun kirik dokuk hikâyede adi bende sakli dalda muhabbette kumrular bana ayriligi sordular dedim afet yangin dedim kar dedim âdet aski vururlar,
Sezen Aksu,Adı Menekşe,bu sehrin meydanlarinda garinda rihtiminda sensizlik bi' turlu yakami birakmiyor butun duraklarda kahvelerde buyuk kucuk yalanlarin donup donup vuruyor ansizin beni vuruyor yerden yere yok ettim salindigin billur aynalari simdi uzun uykularin tam zamanidir bir yorgan misali ortundum yalnizligi bu yil da ask buraya hic ugramadi x2 silinsin izim hicligim sokakta kalsin golgemi yakin bu dunya beni yok saysin emanet ettim biraktigin her seyi dedim siz susuz birakmayin menekseyi,
Sezen Aksu,Affet,senden daha oncesi yok ki coktan kaldirdim catiya boyle bir saflik yok ki bakakaldim kimlerdensin nerelerdensin degmedi mi kir pas ellerine hayret aldim kor bicagi elime kanata kanata sucumu kaziyorum sabret sabret gelen vurdu giden vurdu ben de vurdum vururken rastlayinca kendime durdum bukuldu gokyuzu ayna oldu zaman ben o gun ilk defa seffaf bir sey gordum degmedi mi kir pas ellerinе sabrеt sabret,
Sezen Aksu,Ağlamak Güzeldir,aglamak guzeldir suzulurken yaslar gozunden sakin utanma aglamak ofke delice nefret doruklarda ask doyumsuz sevinc kahreden keder kisaca hayat ve nefesindir ve nefesindir aglamak su gelip gecici dunyada her seye ragmen var olmak demek aglamak yasayan binlerce duygu i̇nsanca ve coskulu guzel bir seydir aglamak senin kara dunyada hâlâ sevdigin ve hissettigin tum guzelligin ve cirkinliginle var oldugundur var oldugundur,
Sezen Aksu,Ahbap Çavuslar,biter mi dert bitmez hadi kalk yuru rumeli kavagi'na dertleselim dokelim icimizibalikcilarin agina gun batimi kizila boyarken gece yar gibi girsin koynumuza suya vursun ayin savki calarken uzgunum leyla vuralim sahile deli dalga gibi gonul senlensin takalar acilirken kara sulara gozumuz nemlensin serefine askin acinin anilarin dolsun kadehler bas koseye kurulsun ahbap cavuslar ufak ufak demlensin de hadi kur masayi iki tek atalim diller dolansin bu gece meyhanede yatalim kader utansin agarinca gun bogazici'ne koyariz kendimizi tuzlamaya sallayip kasigi tamamlariz keyfimizi devam biraktigimiz yerden urperir ten seherden yikar mi bizi be hadi ordan dunya gailesi ah… aman aman ah…,
Sezen Aksu,Ah Beni Beni,omrum bitti gecti zaman yillar geri gelmiyor gurbet elde hayli zaman yollar geri gelmiyor ah beni beni… vah beni beni… nasil edeyim nere gideyim bulbul dalda otmez oldu guller geri gelmiyor gozyaslarim akmaz oldu seller geri gelmiyor,
Sezen Aksu,Ahdım Olsun,gecti yillar ah gec aydim anladim ki bosa gun saydim bakakaldim giden gune ben hep dune ait kaldim x2 cocuklugum kavruk gencligim savruk yetiskinligimden hic hayir yok hayat kadere inat seni sil bastan yasayacagim ahdim olsun esip gectim yagip gectim kacirdim tez zamanlari pismanliklar dusmanliklar bitmez dilimin amanlari,
Sezen Aksu,Ah Felek Yordun Beni,uzun uzun aynaya baktim dedim ki kendime kiz sana ne oldu gidinin cadisi mahallenin delisi dalgalandin da duruldun mu devrilip yatasin keyfine bakasin topragi ekesin var belli hadi biktin usandin kavgadan asktan da mi gectin temelli yani yani yani yani felek esegine cus mu dedi dunyada saadet dus mu dedi buyuklerinde gorus mu dedi hâkime hekime danis mi dedi korktun mu kiz korktun mu kucuk dilini yuttun mu e bari yukunu tuttun mu hayat bu alisveris mi dedi aaahhh aaahhh aaahhh aaahhh ah felek yordun beni hem de cok kirdin beni valla yildirdin beni dedigin dedik billa yildirdin beni caldigin duduk bi' dedim en iyisi varayim bi' kocaya bi' dedim okutayim iyi bi' hocaya olmazsa toplarim tasi taragi gider yerlesirim bolluca'ya lâkin gitmeli mi temize cekmeli mi devam etmeli mi bilemedim bir sindim bir silkindim heyhat arizayi gideremedim,
Sezen Aksu,Ah Mazi,titresin bir mum alevinde o eski gunler bir gumus cerceveden seyret yine maziyi bir nezaketli ince soz duyar da belki o sararmis resmin hayat bulur yeniden ah nerede hani ah nerede hani bir siir gibi narin ve sevdaliydi gecen o zaman ah yanarim yanar ah yuregim sizlar bu bir vazgecis mi yok zaman bir hasret ki her sabah gun agrirken ben dilerim yeter ki gun eksilmesin penceremden ah bir nezaketli ince soz duyar da belki ah kaldirimlara sumbuli bir yagmur inerdi ve tiz bir kadin sesinde bir devir inlerdi,
Sezen Aksu,Akasyalar Açarken,yâr yolunu kolladim ipek mendil salladim ona cicek yolladim akasyalar acarken yârim gelir yanima kani kaynar kanima nese katar canima akasyalar acarken yârimle biz biz bize otururuz diz dize sevisiriz goz goze akasyalar acarken,
Sezen Aksu,Akşam Güneşi,batarken ufuktan bir aksam gunesi birakip gitmistin beni sen sevgilim yillar yili oldu hâlâ donmedin geri ne olur ne olur ne olur don bana bak batiyor yine aksam gunesi aksam gunesi askimi dillerde gozumu yollarda kimsesiz biraktin su gurbet ellerde sanki kara bulut seni sakliyor benden yine golgelendi aksam gunesi aksam gunesi aksam gunesi,
Sezen Aksu,Alâturka,gece inerken soner perde perde gurubun rengi derken baslar semada saltanat ben aglarim gulerken mehtap uyanmis seyru sefada yildizlar siyaha yanmis bende fasil fasil dert ah o ne zalim bir yarmis x2 calsin sazlar calsin bu gece alâturka baslasin vur usta tamburun tellerine hanendeler caglasin penceremden gecer sandallarla sevdalilar hercai cinlar gokkubbede askin sahane saz semai kader boyleymis,
