artist,song_title,lyrics_clean,mood
Sezen Aksu,Ablam Aşktan Öldü,ablam aşktan öldü her şey filmlerdeki gibi oldu bir hazan yaprağı düşerken pencereye bakarak son nefesini verdi mucize sevgililer buluşamadı hayat or'da o kıyıda masalın berisinde kaldı hiç yara almadan aynadan geçemezsin geçemezsin aynadan aşktan ölmenin bin yıllık tarihini ablam yeniden ama yeniden yazdı,
Sezen Aksu,Acıtmışım Canını Sevdikçe,hani yangın yerinde sevmiştim ben seni darmadağın akşamlarda bir avuç kül uzattın bense kırık bir cam yıkıntılar arasında ah neden korktum bir uyandım ki artık yoktun uzanıp eşsiz hatırandan öptüm meğer nasıl da acı nasıl da gece kanatmışım yaranı sevdikçe meğer nasıl karanlık ne beyhude acıtmışım canını sevdikçe bırakıp gittin yok olup yittin gözlerindeki hüzün hüzün bak siliniyor yüzün yüzün karanlık gözlerinden öpmüştüm ben seni paramparça akşamlarda isınmıştık birlikte bu soğuk dünyada,
Sezen Aksu,Adem Olan Anlar,ben bu dünyaya bir türlü alışamadım bu yüzden insan içine karışamadım bana mı sordunuz adımı koyarken bir küstüm bir daha barışamadım uyumlu faniler bana uyumsuz derler delirttiniz beni ey ehveni şerler uzlaşırsam namerdim ateşe verseler garanti muhabbetlere yılışamadım mmh mmh mmh mmh mmh ha desen olmaz ah ah desen olmaz birine uysa öbürüne uymaz yalelli yalelli yalelli o zaman sürüden ayrılanları kurtlar yer arkanı sağlama al ey akıllı beşer ben çatlarım kurallara uyarsam eğer ruhumu şeytanla bölüşemedim herkesin münasip birer dayısı var eh i̇nsanoğlu bu iyisi ayısı var benim zarar bildiğim el âleme kâr adamını bulup da uyuşamadım ihh ihh ihh ihh ihh ben seni de sevmedim âdem doğruyu duymak istiyorsun madem alt tarafı bir elma yedik beraber zehir zıkkım oldu bize bal badem,
Sezen Aksu,Adı Bende Saklı,bölünür sancıyla uykular sığınak değil en kuytular gökte ay on dört ben dolunay son hatıranı sinene say bu kadarına razıyım yâr uzak diyarlarda evli barklı mutluluk en çok onun hakkı bu yorgun kırık dökük hikâyede adı bende saklı dalda muhabbette kumrular bana ayrılığı sordular dedim afet yangın dedim kar dedim âdet aşkı vururlar,
Sezen Aksu,Adı Menekşe,bu şehrin meydanlarında garında rıhtımında sensizlik bi' türlü yakamı bırakmıyor bütün duraklarda kahvelerde büyük küçük yalanların dönüp dönüp vuruyor ansızın beni vuruyor yerden yere yok ettim salındığın billur aynaları şimdi uzun uykuların tam zamanıdır bir yorgan misali örtündüm yalnızlığı bu yıl da aşk buraya hiç uğramadı x2 silinsin izim hiçliğim sokakta kalsın gölgemi yakın bu dünya beni yok saysın emanet ettim bıraktığın her şeyi dedim siz susuz bırakmayın menekşeyi,
Sezen Aksu,Affet,senden daha öncesi yok ki çoktan kaldırdım çatıya böyle bir saflık yok ki bakakaldım kimlerdensin nerelerdensin değmedi mi kir pas ellerine hayret aldım kör bıçağı elime kanata kanata suçumu kazıyorum sabret sabret gelen vurdu giden vurdu ben de vurdum vururken rastlayınca kendime durdum büküldü gökyüzü ayna oldu zaman ben o gün ilk defa şeffaf bir şey gördüm değmedi mi kir pas ellerinе sabrеt sabret,
Sezen Aksu,Ağlamak Güzeldir,ağlamak güzeldir süzülürken yaşlar gözünden sakın utanma ağlamak öfke delice nefret doruklarda aşk doyumsuz sevinç kahreden keder kısaca hayat ve nefesindir ve nefesindir ağlamak şu gelip geçici dünyada her şeye rağmen var olmak demek ağlamak yaşayan binlerce duygu i̇nsanca ve coşkulu güzel bir şeydir ağlamak senin kara dünyada hâlâ sevdiğin ve hissettiğin tüm güzelliğin ve çirkinliğinle var olduğundur var olduğundur,
Sezen Aksu,Ahbap Çavuslar,biter mi dert bitmez hadi kalk yürü rumeli kavağı'na dertleşelim dökelim içimizibalıkçıların ağına gün batımı kızıla boyarken gece yar gibi girsin koynumuza suya vursun ayın şavkı çalarken üzgünüm leyla vuralım sahile deli dalga gibi gönül şenlensin takalar açılırken kara sulara gözümüz nemlensin şerefine aşkın acının anıların dolsun kadehler baş köşeye kurulsun ahbap çavuşlar ufak ufak demlensin de hadi kur masayı iki tek atalım diller dolansın bu gece meyhanede yatalım kader utansın ağarınca gün boğaziçi'ne koyarız kendimizi tuzlamaya sallayıp kaşığı tamamlarız keyfimizi devam bıraktığımız yerden ürperir ten seherden yıkar mı bizi be hadi ordan dünya gailesi ah… aman aman ah…,
Sezen Aksu,Ah Beni Beni,ömrüm bitti geçti zaman yıllar geri gelmiyor gurbet elde hayli zaman yollar geri gelmiyor ah beni beni… vah beni beni… nasıl edeyim nere gideyim bülbül dalda ötmez oldu güller geri gelmiyor gözyaşlarım akmaz oldu seller geri gelmiyor,
Sezen Aksu,Ahdım Olsun,geçti yıllar ah geç aydım anladım ki boşa gün saydım bakakaldım giden güne ben hep düne ait kaldım x2 çocukluğum kavruk gençliğim savruk yetişkinliğimden hiç hayır yok hayat kadere inat seni sil baştan yaşayacağım ahdım olsun esip geçtim yağıp geçtim kaçırdım tez zamanları pişmanlıklar düşmanlıklar bitmez dilimin amanları,
Sezen Aksu,Ah Felek Yordun Beni,uzun uzun aynaya baktım dedim ki kendime kız sana ne oldu gidinin cadısı mahallenin delisi dalgalandın da duruldun mu devrilip yatasın keyfine bakasın toprağı ekesin var belli hadi bıktın usandın kavgadan aşktan da mı geçtin temelli yani yani yani yani felek eşeğine çüş mü dedi dünyada saadet düş mü dedi büyüklerinde görüş mü dedi hâkime hekime danış mı dedi korktun mu kız korktun mu küçük dilini yuttun mu e bari yükünü tuttun mu hayat bu alışveriş mi dedi aaahhh aaahhh aaahhh aaahhh ah felek yordun beni hem de çok kırdın beni valla yıldırdın beni dediğin dedik billa yıldırdın beni çaldığın düdük bi' dedim en iyisi varayım bi' kocaya bi' dedim okutayım iyi bi' hocaya olmazsa toplarım tası tarağı gider yerleşirim bolluca'ya lâkin gitmeli mi temize çekmeli mi devam etmeli mi bilemedim bir sindim bir silkindim heyhat arızayı gideremedim,
Sezen Aksu,Ah Mazi,titresin bir mum alevinde o eski günler bir gümüş çerçeveden seyret yine maziyi bir nezaketli ince söz duyar da belki o sararmış resmin hayat bulur yeniden ah nerede hani ah nerede hani bir şiir gibi narin ve sevdalıydı geçen o zaman ah yanarım yanar ah yüreğim sızlar bu bir vazgeçiş mi yok zaman bir hasret ki her sabah gün ağrırken ben dilerim yeter ki gün eksilmesin penceremden ah bir nezaketli ince söz duyar da belki ah kaldırımlara sümbüli bir yağmur inerdi ve tiz bir kadın sesinde bir devir inlerdi,
Sezen Aksu,Akasyalar Açarken,yâr yolunu kolladım ipek mendil salladım ona çiçek yolladım akasyalar açarken yârim gelir yanıma kanı kaynar kanıma neşe katar canıma akasyalar açarken yârimle biz biz bize otururuz diz dize sevişiriz göz göze akasyalar açarken,
