artist,song_title,lyrics,mood
Sezen Aksu,Ablam Aşktan Öldü,"2 ContributorsAblam Aşktan Öldü Lyrics
Ablam aşktan öldü
Her şey filmlerdeki gibi oldu
Bir hazan yaprağı düşerken
Pencereye bakarak

Son nefesini verdi, mucize
Sevgililer buluşamadı
Hayat or'da o kıyıda
Masalın berisinde kaldı

Hiç yara almadan
Aynadan geçemezsin
Geçemezsin aynadan
Hiç yara almadan

Ablam aşktan öldü
Her şey filmlerdeki gibi oldu
Bir hazan yaprağı düşerken
Pencereye bakarak

Aşktan ölmenin bin yıllık tarihini
Ablam yeniden ama yeniden yazdı

Hiç yara almadan
Aynadan geçemezsin
Geçemezsin aynadan
Hiç yara almadan",
Sezen Aksu,Acıtmışım Canını Sevdikçe,"2 ContributorsAcıtmışım Canını Sevdikçe Lyrics
Hani yangın yerinde
Sevmiştim ben seni
Darmadağın akşamlarda
Bir avuç kül uzattın
Bense kırık bir cam
Yıkıntılar arasında

Ah neden korktum?
Ah neden korktum?
Bir uyandım ki artık yoktun
Uzanıp eşsiz hatırandan öptüm
Meğer nasıl da acı, nasıl da gece
Kanatmışım yaranı sevdikçe
Meğer nasıl karanlık, ne beyhude
Acıtmışım canını sevdikçe
Bırakıp gittin, yok olup yittin
Gözlerindeki hüzün hüzün
Bak siliniyor yüzün yüzün

Karanlık gözlerinden
Öpmüştüm ben seni
Paramparça akşamlarda

Isınmıştık birlikte
Bu soğuk dünyada
Yıkıntılar arasında

Ah neden korktum?
Ah neden korktum?
Bir uyandım ki artık yoktun
Uzanıp eşsiz hatırandan öptüm
Meğer nasıl da acı, nasıl da gece
Kanatmışım yaranı sevdikçe
Meğer nasıl karanlık, ne beyhude
Acıtmışım canını sevdikçe
Bırakıp gittin, yok olup yittin
Gözlerindeki hüzün hüzün
Bak siliniyor yüzün yüzün",
Sezen Aksu,Adem Olan Anlar,"4 ContributorsAdem Olan Anlar Lyrics

Ben bu dünyaya bir türlü alışamadım
Bu yüzden insan içine karışamadım
Bana mı sordunuz adımı koyarken?
Bir küstüm, bir daha barışamadım
Uyumlu faniler bana uyumsuz derler
Delirttiniz beni, ey, ehveni şerler
Uzlaşırsam namerdim ateşe verseler
Garanti muhabbetlere yılışamadım
Mmh, mmh, mmh, mmh, mmh

""Ha"" desen olmaz, ""Ah, ah"" desen olmaz
Birine uysa öbürüne uymaz
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman

Sürüden ayrılanları kurtlar yer
Arkanı sağlama al, ey, akıllı beşer
Ben çatlarım kurallara uyarsam eğer
Ruhumu şeytanla bölüşemedim
Herkesin münasip birer dayısı var
Eh, İnsanoğlu bu iyisi, ayısı var
Benim zarar bildiğim el âleme kâr
Adamını bulup da uyuşamadım
Ihh, Ihh, Ihh, Ihh, ihh

""Ha"" desen olmaz, ""Ah, ah"" desen olmaz
Birine uysa öbürüne uymaz
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman

Ben seni de sevmedim, Âdem
Doğruyu duymak istiyorsun madem
Alt tarafı bir elma yedik beraber
Zehir zıkkım oldu bize bal badem

""Ha"" desen olmaz, ""Ah, ah"" desen olmaz
Birine uysa öbürüne uymaz
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman

Yalelli, yalelli, yalelli o zaman
Yalelli, yalelli, yalelli o zaman",
Sezen Aksu,Adı Bende Saklı,"5 ContributorsAdı Bende Saklı Lyrics

Bölünür sancıyla uykular
Sığınak değil en kuytular
Gökte ay on dört, ben dolunay
Son hatıranı sinene say
Bu kadarına razıyım yâr

Uzak diyarlarda evli barklı
Mutluluk en çok onun hakkı
Bu yorgun, kırık dökük hikâyede adı bende saklı
Uzak diyarlarda evli barklı
Mutluluk en çok onun hakkı
Bu yorgun, kırık dökük hikâyede adı bende saklı

Dalda muhabbette kumrular
Bana ayrılığı sordular
Dedim ""Afet, yangın..."", dedim ""...kar""
Dedim ""Âdet, aşkı vururlar""
Dedim ""Âdet, aşkı vururlar""

Uzak diyarlarda evli barklı
Mutluluk en çok onun hakkı
Bu yorgun, kırık dökük hikâyede adı bende saklı
Uzak diyarlarda evli barklı
Mutluluk en çok onun hakkı
Bu yorgun, kırık dökük hikâyede adı bende saklı",
Sezen Aksu,Adı Menekşe,"2 ContributorsAdı Menekşe Lyrics
Bu şehrin meydanlarında, garında, rıhtımında
Sensizlik bi' türlü yakamı bırakmıyor
Bütün duraklarda, kahvelerde
Büyük küçük yalanların
Dönüp dönüp vuruyor ansızın beni
Vuruyor yerden yere

Yok ettim salındığın billur aynaları
Şimdi uzun uykuların tam zamanıdır
Bir yorgan misali örtündüm yalnızlığı
Bu yıl da aşk buraya hiç uğramadı
(x2)
Silinsin izim, hiçliğim sokakta kalsın
Gölgemi yakın, bu dünya beni yok saysın
Emanet ettim bıraktığın her şeyi
Dedim: Siz susuz bırakmayın menekşeyi!",
Sezen Aksu,Affet,"5 ContributorsAffet Lyrics
Senden daha öncesi yok ki
Çoktan kaldırdım çatıya
Böyle bir saflık yok ki
Bakakaldım
Kimlerdensin nerelerdensin
Değmedi mi kir pas ellerine
Hayret
Aldım kör bıçağı elime
Kanata kanata suçumu kazıyorum
Sabret, sabret

Gelen vurdu, giden vurdu, ben de vurdum
Vururken rastlayınca kendime durdum
Büküldü gökyüzü, ayna oldu zaman
Ben o gün ilk defa şeffaf bir şey gördüm

Kimlerdensin nerelerdensin
Değmedi mi kir pas ellerinе
Hayret
Aldım kör bıçağı elime
Kanata kanata suçumu kazıyorum
Sabrеt, sabret

Gelen vurdu, giden vurdu, ben de vurdum
Vururken rastlayınca kendime durdum
Büküldü gökyüzü, ayna oldu zaman
Ben o gün ilk defa şeffaf bir şey gördüm
Senden daha öncesi yok ki",
Sezen Aksu,Ağlamak Güzeldir,"5 ContributorsTranslationsEnglishAğlamak Güzeldir Lyrics

Ağlamak güzeldir
Süzülürken yaşlar gözünden
Sakın utanma
Ağlamak güzeldir
Süzülürken yaşlar gözünden
Sakın utanma

Ağlamak öfke, delice nefret
Doruklarda aşk, doyumsuz sevinç
Kahreden keder, kısaca hayat
Ve nefesindir, ve nefesindir

Ağlamak şu gelip geçici dünyada
Her şeye rağmen var olmak demek
Ağlamak yaşayan binlerce duygu
İnsanca ve coşkulu güzel bir şeydir

Ağlamak güzeldir
Süzülürken yaşlar gözünden
Sakın utanma
Ağlamak güzeldir
Süzülürken yaşlar gözünden
Sakın utanma

Ağlamak senin kara dünyada
Hâlâ sevdiğin ve hissettiğin
Tüm güzelliğin ve çirkinliğinle
Var olduğundur, var olduğundur

Ağlamak şu gelip geçici dünyada
Her şeye rağmen var olmak demek
Ağlamak yaşayan binlerce duygu
İnsanca ve coşkulu güzel bir şeydir

Ağlamak güzeldir
Süzülürken yaşlar gözünden
Sakın utanma",
Sezen Aksu,Ahbap Çavuslar,"2 ContributorsAhbap Çavuslar LyricsBiter mi dert bitmez
Hadi kalk yürü Rumeli Kavağı'na
Dertleşelim, dökelim içimiziBalıkçıların ağına
Gün batımı kızıla boyarken
Gece yar gibi girsin koynumuza
Suya vursun ayın şavkı
Çalarken ""Üzgünüm Leyla""
Vuralım sahile deli dalga gibi
Gönül şenlensin
Takalar açılırken kara sulara
Gözümüz nemlensin
Şerefine aşkın, acının, anıların
Dolsun kadehler
Baş köşeye kurulsun ahbap çavuşlar
Ufak ufak demlensin
De hadi kur masayı iki tek atalım
Diller dolansın
Bu gece meyhanede yatalım
Kader utansın
Şerefine aşkın, acının, anıların
Dolsun kadehler
Baş köşeye kurulsun ahbap çavuşlar
Ufak ufak demlensin

Ağarınca gün
Boğaziçi'ne koyarız kendimizi
Tuzlamaya sallayıp kaşığı
Tamamlarız keyfimizi
Devam bıraktığımız yerden
Ürperir ten seherden
Yıkar mı bizi be hadi ordan
Dünya gailesi
Vuralım sahile deli dalga gibi
Gönül şenlensin
Takalar açılırken kara sulara
Gözümüz nemlensin
Şerefine aşkın, acının, anıların
Dolsun kadehler
Baş köşeye kurulsun ahbap çavuşlar
Ufak ufak demlensin
De hadi kur masayı iki tek atalım
Ah…
Aman aman, ah…
Vuralım sahile deli dalga gibi
Gönül şenlensin
Takalar açılırken kara sulara
Gözümüz nemlensin",
Sezen Aksu,Ah Beni Beni,"2 ContributorsAh Beni Beni LyricsÖmrüm bitti, geçti zaman
Yıllar geri gelmiyor
Ömrüm bitti, geçti zaman
Yıllar geri gelmiyor
Gurbet elde hayli zaman
Yollar geri gelmiyor
Gurbet elde hayli zaman
Yollar geri gelmiyor
Ah beni beni…
Vah beni beni…
Nasıl edeyim
Ah beni beni…
Vah beni beni…
Nere gideyim
Ah beni beni…
Vah beni beni…
Nasıl edeyim
Ah beni beni…
Vah beni beni…
Nere gideyim

Bülbül dalda ötmez oldu
Güller geri gelmiyor
Bülbül dalda ötmez oldu
Güller geri gelmiyor
Gözyaşlarım akmaz oldu
Seller geri gelmiyor
Gözyaşlarım akmaz oldu
Seller geri gelmiyor
Ah beni beni…
Vah beni beni…
Nasıl edeyim
Ah beni beni…
Vah beni beni…
Nere gideyim
Ah beni beni…
Vah beni beni…
Nasıl edeyim",
Sezen Aksu,Ahdım Olsun,"2 ContributorsAhdım Olsun Lyrics
Geçti yıllar, ah, geç aydım
Anladım ki boşa gün saydım
Bakakaldım giden güne
Ben hep düne ait kaldım
(x2)
Çocukluğum kavruk
Gençliğim savruk
Yetişkinliğimden hiç hayır yok

Hayat, kadere inat
Seni sil baştan, yaşayacağım
Hayat, kadere inat
Seni sil baştan, yaşayacağım
Ahdım olsun

Esip geçtim, yağıp geçtim
Kaçırdım tez zamanları
Pişmanlıklar, düşmanlıklar
Bitmez dilimin amanları
(x2)
Çocukluğum kavruk
Gençliğim savruk
Yetişkinliğimden hiç hayır yok

Hayat, kadere inat
Seni sil baştan, yaşayacağım
Hayat, kadere inat
Seni sil baştan, yaşayacağım
Ahdım olsun",
Sezen Aksu,Ah Felek Yordun Beni,"2 ContributorsAh Felek Yordun Beni Lyrics
Uzun uzun aynaya baktım
Dedim ki kendime: ""Kız sana ne oldu?""
Gidinin cadısı, mahallenin delisi
Dalgalandın da duruldun mu?
Devrilip yatasın, keyfine bakasın
Toprağı ekesin var belli
Hadi bıktın, usandın kavgadan
Aşktan da mı geçtin temelli?

Yani, yani, yani, yani
Felek eşeğine ""çüş"" mü dedi?
""Dünyada saadet düş."" mü dedi?
Büyüklerinde ""görüş"" mü dedi?
Hâkime, ""hekime danış"" mı dedi?
Korktun mu kız, korktun mu?
Küçük dilini yuttun mu?
E bari yükünü tuttun mu?
Hayat bu, alışveriş mi dedi?
Aaahhh, aaahhh, aaahhh, aaahhh!

Ah felek, yordun beni
Hem de çok kırdın beni
Valla yıldırdın beni
Dediğin dedik
Ah felek, yordun beni
Hem de çok kırdın beni
Billa yıldırdın beni
Çaldığın düdük

Bi' dedim en iyisi varayım bi' kocaya
Bi' dedim okutayım iyi bi' hocaya
Olmazsa toplarım tası tarağı
Gider yerleşirim Bolluca'ya
Lâkin gitmeli mi, temize çekmeli mi
Devam etmeli mi, bilemedim
Bir sindim, bir silkindim
Heyhat, arızayı gideremedim!

Yani, yani, yani, yani
Felek eşeğine ""çüş"" mü dedi?
""Dünyada saadet düş."" mü dedi?
Büyüklerinde ""görüş"" mü dedi?
Hâkime, ""hekime danış"" mı dedi?

Korktun mu kız, korktun mu?
Küçük dilini yuttun mu?
E bari yükünü tuttun mu?
Hayat bu, alışveriş mi dedi?
Aaahhh, aaahhh, aaahhh, aaahhh!

Ah felek, yordun beni
Hem de çok kırdın beni
Valla yıldırdın beni
Dediğin dedik
Ah felek, yordun beni
Hem de çok kırdın beni
Billa yıldırdın beni
Çaldığın düdük",
Sezen Aksu,Ah Mazi,"3 ContributorsAh Mazi Lyrics

Titresin bir mum alevinde o eski günler
Bir gümüş çerçeveden seyret yine maziyi
Bir nezaketli ince söz duyar da belki
O sararmış resmin hayat bulur yeniden

Ah, nerede hani? Ah, nerede hani?
Bir şiir gibi narin ve sevdalıydı geçen o zaman
Ah, yanarım, yanar, ah, yüreğim sızlar
Bu bir vazgeçiş mi? Yok zaman

Bir hasret ki her sabah gün ağrırken ben
Dilerim yeter ki gün eksilmesin penceremden, ah
Bir nezaketli ince söz duyar da belki, ah
O sararmış resmin hayat bulur yeniden

Ah, nerede hani? Ah, nerede hani?
Bir şiir gibi narin ve sevdalıydı geçen o zaman
Ah, yanarım, yanar, ah, yüreğim sızlar
Bu bir vazgeçiş mi? Yok zaman

Kaldırımlara sümbüli bir yağmur inerdi
Ve tiz bir kadın sesinde bir devir inlerdi
Ah, yanarım, yanar, ah, yüreğim sızlar
Bu bir vazgeçiş mi? Yok zaman",
Sezen Aksu,Akasyalar Açarken,"2 ContributorsAkasyalar Açarken Lyrics

Yâr, yolunu kolladım, ipek mendil salladım
Yâr, yolunu kolladım, ipek mendil salladım
Ona çiçek yolladım akasyalar açarken
Ona çiçek yolladım akasyalar açarken

Yârim gelir yanıma, kanı kaynar kanıma
Yârim gelir yanıma, kanı kaynar kanıma
Neşe katar canıma akasyalar açarken
Neşe katar canıma akasyalar açarken

Yârimle biz biz bize, otururuz diz dize
Yârimle biz biz bize, otururuz diz dize
Sevişiriz göz göze akasyalar açarken
Sevişiriz göz göze akasyalar açarken",
Sezen Aksu,Akşam Güneşi,"2 ContributorsAkşam Güneşi Lyrics

Batarken ufuktan bir akşam güneşi
Bırakıp gitmiştin beni sen, sevgilim
Yıllar yılı oldu, hâlâ dönmedin geri
Ne olur, ne olur, ne olur dön bana
Bak, batıyor yine akşam güneşi, akşam güneşi

Aşkımı dillerde gözümü yollarda
Kimsesiz bıraktın şu gurbet ellerde
Sanki kara bulut seni saklıyor benden
Ne olur, ne olur, ne olur dön bana
Yine gölgelendi akşam güneşi, akşam güneşi

Akşam güneşi",
