artist,song_title,lyrics,mood,temiz_lyrics
Tarkan,Kuzu Kuzu,"11 ContributorsKuzu Kuzu Lyrics

Bak
Kırıldı kolum kanadım
Olmadı, tutunamadım
Zor
Yokluğun çok zor, alışamadım
Vur
Vur bu akılsız başı
Duvarlara, taşlara vur sevabına
Sonra affet, gel bas bağrına
Süzüldüm, eridim, sensiz olamadım
(Kuzu kuzu, kuzu kuzu, kuzu kuzu, kuzu kuzu)

İşte kuzu kuzu geldim
Dilediğince kapandım dizlerine
Bu kez gururumu ateşe verdim, yaktım da geldim
İster at, ister öp beni ama önce dinle bak gözlerime
İnan, bu defa
Anladım durumu, tövbeler ettim

Vur
Vur bu akılsız başı
Duvarlara, taşlara vur sevabına
Sonra affet, gel bas bağrına
Süzüldüm, eridim, sensiz olamadım
(Kuzu kuzu, kuzu kuzu, kuzu kuzu, kuzu kuzu)

İşte kuzu kuzu geldim
Dilediğince kapandım dizlerine
Bu kez gururumu ateşe verdim, yaktım da geldim
İster at, ister öp beni ama önce dinle bak gözlerime
İnan, bu defa
Anladım durumu, bil
Tövbeler ettim

(Kuzu kuzu, kuzu kuzu, kuzu kuzu, kuzu kuzu)
Of, of
Acı biberler sür dilime, dudaklarıma
(Kuzu kuzu, kuzu kuzu, kuzu kuzu, kuzu kuzu)

İşte kuzu kuzu geldim
Dilediğince kapandım dizlerine
Bu kez gururumu ateşe verdim, yaktım da geldim
İster at, ister öp beni ama önce dinle bak gözlerime
İnan, bu defa
Anladım durumu, tövbeler ettim
İşte kuzu kuzu geldim
Dilediğince kapandım dizlerine
Bu kez gururumu ateşe verdim, yaktım da geldim
İster at, ister öp beni ama önce dinle bak gözlerime
İnan, bu defa
Anladım durumu, tövbeler ettim",mutlu,kuzu kuzu bak kırıldı kolum kanadım olmadı tutunamadım zor yokluğun zor alışamadım vur vur akılsız başı duvarlara taşlara vur sevabına sonra affet gel bas bağrına süzüldüm eridim sensiz olamadım kuzu kuzu kuzu kuzu kuzu kuzu kuzu kuzu i̇şte kuzu kuzu geldim dilediğince kapandım dizlerine gururumu ateşe verdim yaktım geldim i̇ster at ister öp beni önce dinle bak gözlerime i̇nan anladım durumu tövbeler ettim vur vur akılsız başı duvarlara taşlara vur sevabına sonra affet gel bas bağrına süzüldüm eridim sensiz olamadım kuzu kuzu kuzu kuzu kuzu kuzu kuzu kuzu i̇şte kuzu kuzu geldim dilediğince kapandım dizlerine gururumu ateşe verdim yaktım geldim i̇ster at ister öp beni önce dinle bak gözlerime i̇nan anladım durumu bil tövbeler ettim kuzu kuzu kuzu kuzu kuzu kuzu kuzu kuzu of of acı biberler sür dilime dudaklarıma kuzu kuzu kuzu kuzu kuzu kuzu kuzu kuzu i̇şte kuzu kuzu geldim dilediğince kapandım dizlerine gururumu ateşe verdim yaktım geldim i̇ster at ister öp beni önce dinle bak gözlerime i̇nan anladım durumu tövbeler ettim i̇şte kuzu kuzu geldim dilediğince kapandım dizlerine gururumu ateşe verdim yaktım geldim i̇ster at ister öp beni önce dinle bak gözlerime i̇nan anladım durumu tövbeler ettim
Kenan Doğulu,Çakkıdı,"6 ContributorsÇakkıdı Lyrics
Buralardan hemen gidesim var
Yeniden başlamak hevesim var
Ne varsa attım içime
Cart diye diyesim var
Katlanıyoruz herkes gibi malum
E açıklarımız kaçıklarımız var
Ama hem kel hem fodul takımını
Hart diye yiyesim var

Çat diye çatlamak üzereyim
Neresinden tutup da düzeleyim?
Ortağı olmuşum düzeneğin
Kendimi boğasım var
Çat diye çatlamak üzereyim
Neresinden tutup da düzeleyim
Ortağı olmuşum düzeneğin
Herkesi oyasım var

Aman be hadi kalk kaynaşalım kız
Çakkıdı çakkıdı oynaşalım kız
Azıcık alttan, azıcık üstten
Hoppidi hoppidi hoplatalım kız

Aman be hadi kalk kaynaşalım kız
Çakkıdı çakkıdı oynaşalım kız
Azıcık alttan, azıcık üstten
Hoppidi hoppidi hoplatalım kız

Bunlar benim fikrim mi?
Kısa metraj filmim mi?
İrfanım mı ilmim mi?
Yuh diye sövesim var
Zihin oyunlarım mı?
Resmi duyumlarım mı?
Koyun uyumlarım mı?
Kah kah gülesim var

Çat diye çatlamak üzereyim
Neresinden tutup da düzeleyim?
Ortağı olmuşum düzeneğin
Kendimi boğasım var
Çat diye çatlamak üzereyim
Neresinden tutup da düzeleyim
Ortağı olmuşum düzeneğin
Herkesi öpesim var

Aman be hadi kalk kaynaşalım kız
Çakkıdı çakkıdı oynaşalım kız
Azıcık alttan, azıcık üstten
Hoppidi hoppidi hoplatalım kız
Aman be hadi kalk kaynaşalım kız
Çakkıdı çakkıdı oynaşalım kız
Azıcık alttan, azıcık üstten
Hoppidi hoppidi hoplatalım kız

Hiç umut yok mu?
Her şey boş mu?
Dünya âlem
Dut gibi sarhoş mu?

Aman be hadi kalk kaynaşalım kız
Çakkıdı çakkıdı oynaşalım kız
Azıcık alttan, azıcık üstten
Hoppidi hoppidi hoplatalım kız
Aman be hadi kalk kaynaşalım kız
Çakkıdı çakkıdı oynaşalım kız
Azıcık alttan, azıcık üstten
Hoppidi hoppidi hoplatalım kız

Çat diye çatlamak üzereyim
Neresinden tutup da düzeleyim?
Ortağı olmuşum düzeneğin
Kendimi boğasım var
Çat diye çatlamak üzereyim
Neresinden tutup da düzeleyim
Ortağı olmuşum düzeneğin
Herkesi öpesim var
(He-he-he-he)",mutlu,çakkıdı buralardan hemen gidesim var yeniden başlamak hevesim var varsa attım içime cart diyesim var katlanıyoruz herkes malum e açıklarımız kaçıklarımız var kel fodul takımını hart yiyesim var çat çatlamak üzereyim neresinden tutup düzeleyim ortağı olmuşum düzeneğin kendimi boğasım var çat çatlamak üzereyim neresinden tutup düzeleyim ortağı olmuşum düzeneğin herkesi oyasım var aman be hadi kalk kaynaşalım kız çakkıdı çakkıdı oynaşalım kız azıcık alttan azıcık üstten hoppidi hoppidi hoplatalım kız aman be hadi kalk kaynaşalım kız çakkıdı çakkıdı oynaşalım kız azıcık alttan azıcık üstten hoppidi hoppidi hoplatalım kız bunlar benim fikrim mi kısa metraj filmim mi i̇rfanım ilmim mi yuh sövesim var zihin oyunlarım resmi duyumlarım koyun uyumlarım kah kah gülesim var çat çatlamak üzereyim neresinden tutup düzeleyim ortağı olmuşum düzeneğin kendimi boğasım var çat çatlamak üzereyim neresinden tutup düzeleyim ortağı olmuşum düzeneğin herkesi öpesim var aman be hadi kalk kaynaşalım kız çakkıdı çakkıdı oynaşalım kız azıcık alttan azıcık üstten hoppidi hoppidi hoplatalım kız aman be hadi kalk kaynaşalım kız çakkıdı çakkıdı oynaşalım kız azıcık alttan azıcık üstten hoppidi hoppidi hoplatalım kız umut yok boş dünya âlem dut sarhoş aman be hadi kalk kaynaşalım kız çakkıdı çakkıdı oynaşalım kız azıcık alttan azıcık üstten hoppidi hoppidi hoplatalım kız aman be hadi kalk kaynaşalım kız çakkıdı çakkıdı oynaşalım kız azıcık alttan azıcık üstten hoppidi hoppidi hoplatalım kız çat çatlamak üzereyim neresinden tutup düzeleyim ortağı olmuşum düzeneğin kendimi boğasım var çat çatlamak üzereyim neresinden tutup düzeleyim ortağı olmuşum düzeneğin herkesi öpesim var hehehehe
Ajda Pekkan,Yaz Yaz Yaz,"5 ContributorsYaz Yaz Yaz LyricsDuygular var her zaman kolay paylaşılmaz
Öyle anlar yaşanır bir ömürde yaşanmaz
İyi düşün sevgilim, yıkılan köprüler
Kolay onarılmaz
Duygular vardır insan yaşadığına inanmaz
Direnmek ister önce tutsak olur kurtulmaz
İyi düşün sevgilim korkudan gidiyorsun
Değişen birşey olamaz
Tenimde daha hala tenin kokusu var
Üstüme sinmiş bütün yaşanan o duygular
Odamın her köşesi kokuyor hala seni
Buram buram
Yıkarsan yazık olur, gidersen yazık olur
İki kez yaşanamaz, tüm duygular kaybolur
İyi düşün sevgilim, biterse böyle bir aşk
Yazık olur",mutlu,yaz yaz yaz duygular var zaman kolay paylaşılmaz öyle anlar yaşanır bir ömürde yaşanmaz i̇yi düşün sevgilim yıkılan köprüler kolay onarılmaz duygular vardır insan yaşadığına inanmaz direnmek ister önce tutsak olur kurtulmaz i̇yi düşün sevgilim korkudan gidiyorsun değişen olamaz tenimde hala tenin kokusu var üstüme sinmiş bütün yaşanan duygular odamın köşesi kokuyor hala seni buram buram yıkarsan yazık olur gidersen yazık olur i̇ki yaşanamaz duygular kaybolur i̇yi düşün sevgilim biterse böyle bir aşk yazık olur
Nil Karaibrahimgil,Pırlanta,"2 ContributorsPırlanta LyricsParan cebinde kalsın
Bırak artık, rahatsın
Bu kız mal mülkü n'aapsın?
Çalışır, yapar
Tektaşını almış
Tam turunu atmış
Yüreğin kaç karatmış?
Bu kız onu sorar
Sağ eller havaya
Pırlantalar buraya
Tektaşımı kendim aldım, tek başıma kendim taktım
Girmesinler havaya
İyi kötü kazanırım para
Ama kalptir asıl kumbara
Bi' sevgilim yoksa kollarımda
N'apiy'm pırlantayı parmağımda?
İyi kötü kazanırım para
Ama kalptir asıl kumbara
Bi' sevgilim yoksa kollarımda
N'apiy'm pırlantayı parmağımda?
Sağ eller havaya
Pırlantalar buraya
Tektaşımı kendim aldım, tek başıma kendim taktım
Girmesinler havaya

Olur bir gün şan, şöhret, ün, para
Ama aşk her gün karaborsada
Bi' sevgilim yoksa kollarımda
N'apiy'm pırlantayı parmağımda?
Olur bir gün şan, şöhret, ün, para
Ama aşk her gün karaborsada
Bi' sevgilim yoksa kollarımda
N'apiy'm pırlantayı parmağımda?
Sağ eller havaya
Pırlantalar buraya
Tektaşımı kendim aldım, tek başıma kendim taktım
Girmesinler havaya
Cebindeki kalsın sana
Sol üst köşeden harca bana
Pırlantamı aldım ama
Pırlanta gibi kalp lazım bana
Sağ eller havaya
Pırlantalar buraya
Tektaşımı kendim aldım, tek başıma kendim taktım
Girmesinler havaya
Sağ eller havaya
Pırlantalar buraya
Tektaşımı kendim aldım, tek başıma kendim taktım
Girmesinler havaya

Sağ eller havaya
Pırlantalar buraya",mutlu,pırlanta paran cebinde kalsın bırak artık rahatsın kız mal mülkü naapsın çalışır yapar tektaşını almış tam turunu atmış yüreğin kaç karatmış kız onu sorar sağ eller havaya pırlantalar buraya tektaşımı kendim aldım tek başıma kendim taktım girmesinler havaya i̇yi kötü kazanırım para kalptir asıl kumbara bi sevgilim yoksa kollarımda napiym pırlantayı parmağımda i̇yi kötü kazanırım para kalptir asıl kumbara bi sevgilim yoksa kollarımda napiym pırlantayı parmağımda sağ eller havaya pırlantalar buraya tektaşımı kendim aldım tek başıma kendim taktım girmesinler havaya olur bir gün şan şöhret ün para aşk gün karaborsada bi sevgilim yoksa kollarımda napiym pırlantayı parmağımda olur bir gün şan şöhret ün para aşk gün karaborsada bi sevgilim yoksa kollarımda napiym pırlantayı parmağımda sağ eller havaya pırlantalar buraya tektaşımı kendim aldım tek başıma kendim taktım girmesinler havaya cebindeki kalsın sana sol üst köşeden harca bana pırlantamı aldım pırlanta kalp lazım bana sağ eller havaya pırlantalar buraya tektaşımı kendim aldım tek başıma kendim taktım girmesinler havaya sağ eller havaya pırlantalar buraya tektaşımı kendim aldım tek başıma kendim taktım girmesinler havaya sağ eller havaya pırlantalar buraya
Sezen Aksu,Hadi Bakalım,"5 ContributorsHadi Bakalım Lyrics

Yerimiz mi dar yoksa yenimiz mi dar?
Ne var? (Ne var, ne var?)
Uçurmuş herkes, o da kim oluyor?
Sen kimsin, kim bunlar?
En büyük kim?

Hadi bakalım kolay gelsin
Bir acayip zor yarış
Bana ne aman, ben anlamam
Pek hesaplı, ince iş
Hadi bakalım kolay gelsin
Bir acayip zor yarış
Bana ne aman, ben anlamam
Pek hesaplı, ince iş

Sen seni bil sen seni
Sen sıkı tut çeneni
Eline, diline hâkim ol
Sonra öcüler yer seni
Sen seni bil sen seni
Sen sıkı tut çeneni
Eline diline hâkim ol
Dikkat

Ah, içimizde ne aç hevesler
Arada hicaz, arada caz nefesler
Bir yanımız her duruma müsait
Ne kadar uyarsa o kadar ister
Ah, içimizde ne aç hevesler
Arada hicaz, arada caz nefesler
Bir yanımız her duruma müsait
Ne kadar uyarsa o kadar ister
Ah

Yerimiz mi dar yoksa yenimiz mi dar?
Ne var? (Ne var, ne var?)
Uçurmuş herkes, o da kim oluyor?
Sen kimsin, kim bunlar?
En büyük kim?

Hadi bakalım kolay gelsin
Bir acayip zor yarış
Bana ne aman, ben anlamam
Pek hesaplı, ince iş
Hadi bakalım kolay gelsin
Bir acayip zor yarış
Bana ne aman, ben anlamam
Pek hesaplı, ince iş

Sen seni bil sen seni
Sen sıkı tut çeneni
Eline, diline hâkim ol
Sonra öcüler yer seni
Sen seni bil sen seni
Sen sıkı tut çeneni
Eline diline hâkim ol
Dikkat

Ah, içimizde ne aç hevesler
Arada hicaz, arada caz nefesler
Bir yanımız her duruma müsait
Ne kadar uyarsa o kadar ister
Ah, içimizde ne aç hevesler
Arada hicaz, arada caz nefesler
Bir yanımız her duruma müsait
Ne kadar uyarsa o kadar ister
Ah",mutlu,hadi bakalım yerimiz mi dar yoksa yenimiz mi dar var var var uçurmuş herkes oluyor sen kimsin bunlar büyük hadi bakalım kolay gelsin bir acayip zor yarış bana aman ben anlamam pek hesaplı ince iş hadi bakalım kolay gelsin bir acayip zor yarış bana aman ben anlamam pek hesaplı ince iş sen seni bil sen seni sen sıkı tut çeneni eline diline hâkim ol sonra öcüler yer seni sen seni bil sen seni sen sıkı tut çeneni eline diline hâkim ol dikkat ah içimizde aç hevesler arada hicaz arada caz nefesler bir yanımız duruma müsait kadar uyarsa kadar ister ah içimizde aç hevesler arada hicaz arada caz nefesler bir yanımız duruma müsait kadar uyarsa kadar ister ah yerimiz mi dar yoksa yenimiz mi dar var var var uçurmuş herkes oluyor sen kimsin bunlar büyük hadi bakalım kolay gelsin bir acayip zor yarış bana aman ben anlamam pek hesaplı ince iş hadi bakalım kolay gelsin bir acayip zor yarış bana aman ben anlamam pek hesaplı ince iş sen seni bil sen seni sen sıkı tut çeneni eline diline hâkim ol sonra öcüler yer seni sen seni bil sen seni sen sıkı tut çeneni eline diline hâkim ol dikkat ah içimizde aç hevesler arada hicaz arada caz nefesler bir yanımız duruma müsait kadar uyarsa kadar ister ah içimizde aç hevesler arada hicaz arada caz nefesler bir yanımız duruma müsait kadar uyarsa kadar ister ah
Athena,Serseri Mayın,"6 ContributorsSerseri Mayın Lyrics

Serseri mayın

Kaynar gönlüm boş ise
Efkâr aldı başımı
Bakma sen güldüğüme
Terk edildim, terk edildim

Bu yüzsüz kalbime
Uçurtma hâlime
Bana da yazıklar olsun
O-oh
Yaralıyım ezelden
Bıkmış yalanlar bile
Aç kurtlar yedi beni
Sen de söyle, sen de söyle
Unutulacaksın, unutulacaksın
Yalansa tükür yüzüme
Yalansa söyle

Bir sevgilim olsa
Giderim balayına
Ooo, balayına
Ah, bir de bekarsam
Giderim alayına, (Giderim ben) alayına
Bir sevgilim olsa
Giderim balayına
Ooo, balayına
Ah, bir de bekarsam
Giderim alayına (Giderim ben) alayına, ıh

Kimsenin olamadım
Sana hiç doyamadım
Serseri mayın gibi
Adını hiç koyamadım

Bu yüzsüz kalbime
Uçurtma halime
Bana da yazıklar olsun
Yaralıyım ezelden
Bıkmış yalanlar bile
Aç kurtlar yedi beni
Sen de söyle, sen de soyle
Unutulacaksın, unutulacaksıin
Yalansa tukur yüzüme
Yalansa söyle

Ey, ey

Bir sevgilim olsa
Giderim balayına
Ooo, balayına
Ah, bir de bekarsam
Giderim alayına, (Giderim ben) alayına
Bir sevgilim olsa
Giderim balayına
Ooo, balayına
Ah, bir de bekarsam
Giderim alayına (Giderim ben) alayına, ıh

Ih
Ih
Ih

Bir sevgilim olsa
Giderim balayına
Balayına
Ah, bir de bekarsam
Giderim alayına, (Giderim ben) alayına
Bir sevgilim olsa
Giderim balayına
Balayına
Ah, bir de bekarsam
Giderim alayına (Giderim ben) alayına, ıh",mutlu,serseri mayın serseri mayın kaynar gönlüm boş efkâr aldı başımı bakma sen güldüğüme terk edildim terk edildim yüzsüz kalbime uçurtma hâlime bana yazıklar olsun ooh yaralıyım ezelden bıkmış yalanlar bile aç kurtlar yedi beni sen söyle sen söyle unutulacaksın unutulacaksın yalansa tükür yüzüme yalansa söyle bir sevgilim olsa giderim balayına ooo balayına ah bir bekarsam giderim alayına giderim ben alayına bir sevgilim olsa giderim balayına ooo balayına ah bir bekarsam giderim alayına giderim ben alayına ıh kimsenin olamadım sana doyamadım serseri mayın adını koyamadım yüzsüz kalbime uçurtma halime bana yazıklar olsun yaralıyım ezelden bıkmış yalanlar bile aç kurtlar yedi beni sen söyle sen soyle unutulacaksın unutulacaksıin yalansa tukur yüzüme yalansa söyle ey ey bir sevgilim olsa giderim balayına ooo balayına ah bir bekarsam giderim alayına giderim ben alayına bir sevgilim olsa giderim balayına ooo balayına ah bir bekarsam giderim alayına giderim ben alayına ıh ih ih ih bir sevgilim olsa giderim balayına balayına ah bir bekarsam giderim alayına giderim ben alayına bir sevgilim olsa giderim balayına balayına ah bir bekarsam giderim alayına giderim ben alayına ıh
Yalın,Küçücüğüm,"4 ContributorsKüçücüğüm LyricsHiç özlemediğim kadar özlüyorum bu aralar seni
Niye bilmiyorum ama ben sadece senle mutluyum
Ah şu gönül gözünden görmek dedikleri var ya
Seni her halinle seviyorum
Beraber uyansak
Bütün gün sarılsak
Bana yetmez
O ana dünyaları değişmem
Küçücüğüm, her şeyim
Ne olur çok uzaklara gitme
Gidersen öleceğim
Karanlığa döneceğim, of
Küçücüğüm, her şeyim
Ne olur çok uzaklara gitme
Gidersen öleceğim
Karanlığa döneceğim, of
Hiç özlemediğim kadar özlüyorum bu aralar seni
Niye bilmiyorum ama ben sadece senle mutluyum
Ah şu gönül gözünden görmek dedikleri var ya
Seni her halinle seviyorum
Beraber uyansak
Bütün gün sarılsak
Bana yetmez
O ana dünyaları değişmem

Küçücüğüm, her şeyim
Ne olur çok uzaklara gitme
Gidersen öleceğim
Karanlığa döneceğim, of
Küçücüğüm, her şeyim
Ne olur çok uzaklara gitme
Gidersen öleceğim
Karanlığa döneceğim, of
Beraber uyansak
Bütün gün sarılsak
Bana yetmez
O ana dünyaları değişmem
Küçücüğüm, her şeyim
Ne olur çok uzaklara gitme
Gidersen öleceğim
Karanlığa döneceğim, of
Küçücüğüm, her şeyim
Ne olur çok uzaklara gitme
Gidersen öleceğim
Karanlığa döneceğim, of",mutlu,küçücüğüm özlemediğim kadar özlüyorum aralar seni bilmiyorum ben sadece senle mutluyum ah gönül gözünden görmek dedikleri var seni halinle seviyorum beraber uyansak bütün gün sarılsak bana yetmez ana dünyaları değişmem küçücüğüm şeyim olur uzaklara gitme gidersen öleceğim karanlığa döneceğim of küçücüğüm şeyim olur uzaklara gitme gidersen öleceğim karanlığa döneceğim of özlemediğim kadar özlüyorum aralar seni bilmiyorum ben sadece senle mutluyum ah gönül gözünden görmek dedikleri var seni halinle seviyorum beraber uyansak bütün gün sarılsak bana yetmez ana dünyaları değişmem küçücüğüm şeyim olur uzaklara gitme gidersen öleceğim karanlığa döneceğim of küçücüğüm şeyim olur uzaklara gitme gidersen öleceğim karanlığa döneceğim of beraber uyansak bütün gün sarılsak bana yetmez ana dünyaları değişmem küçücüğüm şeyim olur uzaklara gitme gidersen öleceğim karanlığa döneceğim of küçücüğüm şeyim olur uzaklara gitme gidersen öleceğim karanlığa döneceğim of
Demet Akalın,Türkan,"2 ContributorsTürkan LyricsKim bilir gelen geçen ne diyor hâlime ben
Ben değilim bugünlerde
Yediğim nanelerin haddi hesabı yok şişenin dibindeyim
Çok mutsuzum çok çok çok
Kendiliğinden gelsen ne olur aramıyorum yiğitlikten
Sendeki sabır da mübarek paslanmaz çelikten
Dün gece birkaç film seyrettim canım çıktı ağlamaktan
O Türkan yok mu ahh o Türkan
Yine öptürmedi dudaktan",mutlu,türkan bilir gelen geçen diyor hâlime ben ben değilim bugünlerde yediğim nanelerin haddi hesabı yok şişenin dibindeyim mutsuzum kendiliğinden gelsen olur aramıyorum yiğitlikten sendeki sabır mübarek paslanmaz çelikten dün gece film seyrettim canım çıktı ağlamaktan türkan yok ahh türkan yine öptürmedi dudaktan
Hadise,Aşk Kaç Beden Giyer,"7 ContributorsAşk Kaç Beden Giyer Lyrics

Aşk kaç beden giyer? (Yeah, yeah, yeah)
Aşk kaç beden giyer? (Yeah, yeah, yeah)
Aşk kaç beden giyer? (Yeah, yeah, yeah)
A-A-A-Aşk kaç beden giyer? (Yeah, yeah, yeah)

Seversen yanılmadan, korkmadan, korunmadan
Döktüğün o yaşsa da ah, mah olmaz (Yeah, yeah, yeah)
Gerçeğiyse duygunun, aldanışlara kanmaz
Aşk demek emek demek, vah vah olmaz (Yeah, yeah, yeah)

Ten taşırsa hisleri, yaşarsa sisleri, kalp ""Bur'da"" der mi? (Yeah, yeah, yeah)
O yabancı sözlere, yalancı gözlere güm güm eder mi?

Bi' kalp kaç defa sever? Or'da bana da var mı yer?
Söylesene sevgilim, aşk kaç beden giyer? (Yeah, yeah)
Her bedeni aşk sanan kaç tene o can değer?
Aldatansa, sevgilim, bu oyunu kaybeder (Yeah, yeah, yeah)

(A-A-A-Aşk kaç beden giyer?)

Seversen yanılmadan, korkmadan, korunmadan
Döktüğün o yaşsa da ah, mah olmaz (Yeah, yeah, yeah)
Gerçeğiyse duygunun, aldanışlara kanmaz
Aşk demek emek demek, vah vah olmaz (Yeah, yeah, yeah)

Ten taşırsa hisleri, yaşarsa sisleri, kalp ""Bur'da"" der mi? (Yeah, yeah, yeah)
O yabancı sözlere, yalancı gözlere güm güm eder mi?

Bi' kalp kaç defa sever? Or'da bana da var mı yer?
Söylesene sevgilim, aşk kaç beden giyer? (Yeah, yeah)
Her bedeni aşk sanan kaç tene o can değer?
Aldatansa, sevgilim, bu oyunu kaybeder (Yeah, yeah, yeah)
Bi' kalp kaç defa sever? Or'da bana da var mı yer?
Söylesene sevgilim, aşk kaç beden giyer? (Yeah, yeah)
Her bedeni aşk sanan kaç tene o can değer?
Aldatansa, sevgilim, bu oyunu kaybeder (Yeah, yeah, yeah)

Söyle hadi, durma, aşk kaç beden giyer?
Söyle hadi, durma-a-a, aşk kaç beden giyer? (Yeah, yeah, yeah)
(A-ah)
Internationally known (A-ah-a-ah), Miss Hadise (Ah)
Aşk kaç beden giyer?  (Yeah, yeah, yeah)
We'll be layin' it down  (A-ah, a-ah-a-ah)
Street Fabulous  (A-ah)
Aşk kaç beden giyer? (Yeah, yeah, yeah)
(Yeah, yeah, yeah)
(A-A-A-Aşk kaç beden giyer?)
(Yeah, yeah, yeah)
(Yeah, yeah, yeah)
(Yeah, yeah, yeah)",mutlu,aşk kaç beden giyer aşk kaç beden giyer yeah yeah yeah aşk kaç beden giyer yeah yeah yeah aşk kaç beden giyer yeah yeah yeah aaaaşk kaç beden giyer yeah yeah yeah seversen yanılmadan korkmadan korunmadan döktüğün yaşsa ah mah olmaz yeah yeah yeah gerçeğiyse duygunun aldanışlara kanmaz aşk demek emek demek vah vah olmaz yeah yeah yeah ten taşırsa hisleri yaşarsa sisleri kalp burda der mi yeah yeah yeah yabancı sözlere yalancı gözlere güm güm eder mi bi kalp kaç sever orda bana var yer söylesene sevgilim aşk kaç beden giyer yeah yeah bedeni aşk sanan kaç tene can değer aldatansa sevgilim oyunu kaybeder yeah yeah yeah aaaaşk kaç beden giyer seversen yanılmadan korkmadan korunmadan döktüğün yaşsa ah mah olmaz yeah yeah yeah gerçeğiyse duygunun aldanışlara kanmaz aşk demek emek demek vah vah olmaz yeah yeah yeah ten taşırsa hisleri yaşarsa sisleri kalp burda der mi yeah yeah yeah yabancı sözlere yalancı gözlere güm güm eder mi bi kalp kaç sever orda bana var yer söylesene sevgilim aşk kaç beden giyer yeah yeah bedeni aşk sanan kaç tene can değer aldatansa sevgilim oyunu kaybeder yeah yeah yeah bi kalp kaç sever orda bana var yer söylesene sevgilim aşk kaç beden giyer yeah yeah bedeni aşk sanan kaç tene can değer aldatansa sevgilim oyunu kaybeder yeah yeah yeah söyle hadi durma aşk kaç beden giyer söyle hadi durmaaa aşk kaç beden giyer yeah yeah yeah aah internationally known aahaah miss hadise ah aşk kaç beden giyer yeah yeah yeah well be layin it down aah aahaah street fabulous aah aşk kaç beden giyer yeah yeah yeah yeah yeah yeah aaaaşk kaç beden giyer yeah yeah yeah yeah yeah yeah yeah yeah yeah
Sertab Erener,Sakin Ol,"4 ContributorsSakin Ol Lyrics

Of, bu ne sinir? Bu ne öfke? Aman, bir telaş, bir acele
Herkes birbirini boğacak, bu gidişle sonumuz ne olacak?
Kimi takmış alaturkaya, kimi batıdan şikayetçi
Ne var sanki bunda kızacak? Dünya hali bu gelip geçici

Hişt, hişt, sakin ol, sinirlerine hakim ol
Hişt, hişt, sakin ol, sinirlerine hakim ol

Kimi lahmacundan utanır, kimi her önüne gelene gıcık
Ya uzak herkes birbirine, ya ilişkiler vıcık vıcık
Kimi entellere düşman, kiminden cehalete prim
Bu ne manasız didişme? Kimse kimseye bir şey öğretemez mirim

Hişt, hişt, sakin ol, sinirlerine hakim ol
Hişt, hişt, sakin ol, sinirlerine hakim ol

Aaah

Ölümlü dünya, ölümlü insan
Ha alim olsan ha zalim olsan
Ölümlü dünya, ölümlü insan
Ha alim olsan ha zalim olsan

Hişt, hişt, sakin ol, sinirlerine hakim ol
Hişt, hişt, sakin ol, sinirlerine hakim ol

Herkesin doğrusu en doğru, herkesin lafı bir hikmet
Sıradan şeyler de konuşalım, iş mi yani birbirimizi yemek?
İlle de kusursuz olmalı, hata yapmaya da hakkımız yok
Üçüncü şahıslar için herkes sancılar içinde, bu kadarı da çok

Hişt, hişt, sakin ol, sinirlerine hakim ol
Hişt, hişt, sakin ol, sinirlerine hakim ol

Aaah

Ölümlü dünya, ölümlü insan
Ha alim olsan ha zalim olsan
Ölümlü dünya, ölümlü insan
Ha alim olsan ha zalim olsan
Ölümlü dünya, ölümlü insan
Ha alim olsan ha zalim olsan
Ölümlü dünya, ölümlü insan
Ha alim olsan ha zalim olsan

Hişt, hişt, sakin ol, sinirlerine hakim ol
Hişt, hişt, sakin ol, sinirlerine hakim ol
Hişt, hişt, sakin ol, sinirlerine hakim ol
Hişt, hişt, sakin ol, sinirlerine hakim ol

Hişt, hişt, sakin ol",mutlu,sakin ol of sinir öfke aman bir telaş bir acele herkes birbirini boğacak gidişle sonumuz olacak kimi takmış alaturkaya kimi batıdan şikayetçi var bunda kızacak dünya hali gelip geçici hişt hişt sakin ol sinirlerine hakim ol hişt hişt sakin ol sinirlerine hakim ol kimi lahmacundan utanır kimi önüne gelene gıcık uzak herkes birbirine ilişkiler vıcık vıcık kimi entellere düşman kiminden cehalete prim manasız didişme kimse kimseye bir öğretemez mirim hişt hişt sakin ol sinirlerine hakim ol hişt hişt sakin ol sinirlerine hakim ol aaah ölümlü dünya ölümlü insan ha alim olsan ha zalim olsan ölümlü dünya ölümlü insan ha alim olsan ha zalim olsan hişt hişt sakin ol sinirlerine hakim ol hişt hişt sakin ol sinirlerine hakim ol herkesin doğrusu doğru herkesin lafı bir hikmet sıradan şeyler konuşalım iş mi birbirimizi yemek i̇lle kusursuz olmalı hata yapmaya hakkımız yok üçüncü şahıslar herkes sancılar içinde kadarı hişt hişt sakin ol sinirlerine hakim ol hişt hişt sakin ol sinirlerine hakim ol aaah ölümlü dünya ölümlü insan ha alim olsan ha zalim olsan ölümlü dünya ölümlü insan ha alim olsan ha zalim olsan ölümlü dünya ölümlü insan ha alim olsan ha zalim olsan ölümlü dünya ölümlü insan ha alim olsan ha zalim olsan hişt hişt sakin ol sinirlerine hakim ol hişt hişt sakin ol sinirlerine hakim ol hişt hişt sakin ol sinirlerine hakim ol hişt hişt sakin ol sinirlerine hakim ol hişt hişt sakin ol
