artist,song_title,lyrics,mood
Tarkan,Dön Bebeğim,"8 ContributorsDön Bebeğim Lyrics

Sensiz gecelerin koynunda
Uyku girmez gözlerime
Bu karanlıklar beni eritse de
Vazgeçmem senden
Aşk-ı alevinden

Bilirim, günler yeniden doğacak
Ellerin dokununca yüreğin yanacak
Bilirim her şey yeniden yaşanacak
Sarılınca boynuna, gözlerin dolacak
Yürürüm gecenin üstüne
Salarım güneşlerimi
Görürüm, tane tane açılan güllerimi
Yürürüm gecenin üstüne
Günahlardan geçerim
Ezerim birer birer yalan sevişleri

Dön bebeğim
Dön çaresiz başım
Ayrılık böyle uzun sürmez ki
Dön, dön bebeğim
Acılar seliyim
Dön, dön bebeğim
Hasrete gebeyim

Dön, dön bebeğim
Dön çaresiz başım
Ayrılık böyle uzun sürmez ki
Dön, dön bebeğim
Acılar seliyim
Dön, dön bebeğim
Hasrete gebeyim

Bilirim, günler yeniden doğacak
Ellerin dokununca yüreğin yanacak
Bilirim her şey yeniden yaşanacak
Sarılınca boynuna gözlerin dolacak
Yürürüm gecenin üstüne
Salarım güneşlerimi
Görürüm, tane tane açılan güllerimi
Yürürüm gecenin üstüne
Günahlardan geçerim
Ezerim birer birer yalan sevişleri

Dön bebeğim
Dön çaresiz başım
Ayrılık böyle uzun sürmez ki
Dön, dön bebeğim
Acılar seliyim
Dön, dön bebeğim
Hasrete gebeyim

Dön, dön bebeğim
Dön çaresiz başım
Ayrılık böyle uzun sürmez ki
Dön, dön bebeğim
Acılar seliyim
Dön, dön bebeğim
Hasrete gebeyim
Dön, dön bebeğim
Dön çaresiz başım
Ayrılık böyle uzun sürmez ki
Dön, dön bebeğim
Acılar seliyim
Dön, dön bebeğim
Hasrete gebeyim
Dön, dön bebeğim
Dön çaresiz başım
Ayrılık böyle uzun sürmez ki",üzgün
Sezen Aksu,Gidemem,"6 ContributorsGidemem Lyrics

Bazen daha fazladır her şey
Bir eşikten atlar insan
Yüzüne bakmak istemez yaşamın
O kadar azalmıştır ki anlam
O zaman hemen git radyoyu aç, bir şarkı tut
Ya da bir kitap oku mutlaka, iyi geliyor
Ya da balkona çok bağır, bağırabildiğin kadar
Zehir dışarı akmadan yürek yıkanmıyor

Ama fazla da üzülme hayat bitiyor bir gün
Ayrılıktan kaçılmıyor
Hem çok zor, hem de çok kısa bir macera ömür
Ömür imtihanla geçiyor

Ben bu yüzden hiç kimseden gidemem, gitmem
Unutamam acı tatlı ne varsa hazinemdir
Acının insana kattığı değeri bilirim küsemem
Acıdan geçmeyen şarkılar biraz eksiktir
Ben bu yüzden hiç kimseden gidemem, gitmem
Unutamam acı tatlı ne varsa hazinemdir
Acının insana kattığı değeri bilirim küsemem
Acıdan geçmeyen şarkılar biraz eksiktir

Bir şiirden, bir sözden
Bir melodiden, bir filmden
Geçirip güzelleştirmeden can dayanmıyor
Yıldızların o ışıklı fırçası azıcık değmeden
Bu şahane hüzün tablosu tamamlanmıyor

Ama fazla da üzülme hayat bitiyor bir gün
Ayrılıktan kaçılmıyor
Hem çok zor, hem de çok kısa bir macera ömür
Ömür imtihanla geçiyor

Ben bu yüzden hiç kimseden gidemem, gitmem
Unutamam acı tatlı ne varsa hazinemdir
Acının insana kattığı değeri bilirim küsemem
Acıdan geçmeyen şarkılar biraz eksiktir
Ben bu yüzden hiç kimseden gidemem, gitmem
Unutamam acı tatlı ne varsa hazinemdir
Acının insana kattığı değeri bilirim küsemem
Acıdan geçmeyen şarkılar biraz eksiktir
Ben bu yüzden hiç kimseden gidemem, gitmem
Unutamam acı tatlı ne varsa hazinemdir
Acının insana kattığı değeri bilirim küsemem
Acıdan geçmeyen şarkılar biraz eksiktir",üzgün
Emre Aydın,Afili Yalnızlık,"1 ContributorAfili yalnızlık Lyrics

Ölsem (Ölsem), ölsem (Ölsem), ölsem, hemen şimdi
Kaçsam (Kaçsam), gitsem (Gitsem), kaçsam, tam da şimdi

Bu kez pek bi' afili yalnızlık
Aldatan bi' kadın kadar düşman
Ağzı bozuk üstelik, bırakmıyor acıtmadan
Bu kez pek bi' afili yalnızlık
Ağlayan bi' kadın kadar düşman
Tuzaklar kurmuş üstelik
Bırakmıyor acıtmadan

Bitiyorum her nefeste
Ne halim varsa gördüm
Çok koştum, çok yoruldum
Ve şimdi ben de düştüm
Bitiyorum her nefeste
Ne halim varsa gördüm
Çok koştum, çok yoruldum
Ve şimdi ben de düştüm

Sövdüm (Sövdüm), sövdüm (Sövdüm), sövdüm ben dünyaya
Acılara, sokaklara, ait olmaya, insanlara

Bu kez pek bi' afili yalnızlık
Aldatan bi' kadın kadar düşman
Ağzı bozuk üstelik, bırakmıyor acıtmadan
Bu kez pek bi' afili yalnızlık
Ağlayan bi' kadın kadar düşman
Tuzaklar kurmuş üstelik
Bırakmıyor acıtmadan

Bitiyorum her nefeste
Ne halim varsa gördüm
Çok koştum, çok yoruldum
Ve şimdi ben de düştüm
Bitiyorum her nefeste
Ne halim varsa gördüm
Çok koştum, çok yoruldum
Ve şimdi ben de düştüm

Değmezmiş hiç uğraşmaya
Bu kez mecalim yok hiç dayanmaya, dayanmaya

Bitiyorum her nefeste
Ne halim varsa gördüm
Çok koştum, çok yoruldum
Ve şimdi ben de düştüm",üzgün
Gripin,Sensiz İstanbul’a Düşmanım,"1 ContributorSensiz İstanbul’a Düşmanım LyricsKelimelerden alacaklı bir sağır gibi
İçimi döktüm bugün, yokluğunla konuştum
Tutsak gibi, enkaz gibi, kendim gibi
İçimden çıktım bugün, içimle konuştum
Yüzünü ilk kez gören bir çocuk gibi
Gördüm, kendimi gördüm
Kırıldı ayna paramparça
Paramparça ne varsa kadınım
Yokluğunda kaç damla gözyaşı eder adın
Ne olur gel, gel, gel, gel
Ben sensiz İstanbul'a düşmanım
Kestiğim ümitlerden yelkenler yaptım ama
Yokluğunda ne gidebildim ne de kaldım
Gerçek miydi tutunmaya çalıştıklarım
Hediye süsü verilmiş ayrılıklarım
Yüzünü ilk kez gören bir çocuk gibi
Sustum, kendime kızdım
Kırıldı ayna paramparça
Paramparça ne varsa kadınım
Yokluğunda kaç damla gözyaşı eder adın
Ne olur gel, gel, gel, gel
Ben sensiz İstanbul'a düşmanım",üzgün
Mor ve Ötesi,Bir Derdim Var,"25 ContributorsBir Derdim Var Lyrics

Bir derdim var, artık tutamam içimde
Gitsem nereye kadar?
Kalsam neye yarar?
Hiç anlatamadım
Hiç anlamadılar

Herkes neden düşman?
Herkes neden düşman?
Unuttuk hepsini, Nuh'un nefesini
Gelme yanıma; sen başkasın, ben başka


Bir derdim var, artık tutamam içimde
Gitsem nereye kadar?
Kalsam neye yarar?
Hiç anlatamadım
Hiç anlamadılar

Bak, bu son perde
Oyun yok bundan sonra
Işık yok, hiçbir şey yok
Yok, yok, yok

Bir derdim var
Bir derdim var
Bir derdim var
Bir derdim var
Bir derdim var
Bir derdim var tutamam içimde

Bir derdim var, artık tutamam içimde",üzgün
Fikret Kızılok,Bu Kalp Seni Unutur mu?,"5 ContributorsBu Kalp Seni Unutur mu? Lyrics

Yıllar geçse de üstünden
Bu kalp seni unutur mu?
Kader gibi istemeden
Bu kalp seni unutur mu?

Bir hasretlik yüzün vardı
İçinde bir hüzün vardı
Söyleyecek sözüm vardı
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bu kalbim seni unutur mu?
Bir hasretlik yüzün vardı
İçinde bir hüzün vardı
Söyleyecek sözüm vardı
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bu kalbim seni unutur mu?

Anlamı yok tüm sözlerin
Sensiz geçen gecelerin
Yaşanacak senelerin
Bu kalp seni unutur mu?

Bambaşka bir halin vardı
Farketmeden beni sardı
Benliğimi benden aldı
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bu kalbim seni unutur mu?
Bambaşka bir halin vardı
Farketmeden beni sardı
Benliğimi benden aldı
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bu kalbim seni unutur mu?

Bana aşkı veren sendin
Sonra alıp giden sendin
Yollarımız ayrı derdin
Bu kalp seni unutur mu?

Oysa düşlerim başkaydı
Birden bire yarım kaldı
Yaşanacak çok şey vardı
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?

Oysa düşlerim başkaydı
Birden bire yarım kaldı
Yaşanacak çok şey vardı
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?

Her gün akşam yastığımda
Üşüyorum yokluğunda
Yaşıyorum boşluğunda
Bu kalp seni unutur mu?

Bambaşka bir halin vardı
Farketmeden beni sardı
Benliğimi benden aldı
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bambaşka bir halin vardı
Farketmeden beni sardı
Benliğimi benden aldı
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?
Bu kalp seni unutur mu?",üzgün
Cem Adrian,Yalnızlık,"4 ContributorsYalnızlık Lyrics
Vurmuyor yüzüne eskisi gibi sanki
Güneşin ısıtmıyor içini
Gelmiyor içinden uzatmak ellerini
Ellerin tutamıyor bir kalbi

Bir kâğıt, bir kalem, bir yanmış, bir sönmüş, bir bitmiş sigara
Hayatın bu
Sökülmüş, atılmış, kırılmış, dökülmüş hep paramparça
Yolun sonu bu

Yalnızlık, saklandığın o küçük delikte buluyor seni
Yalnızlık, seviştiğin o kalpsiz bedende uyuşturuyor seni
Yalnızlık, sıkıştığın o küçük evinde vuruyor seni
Yalnızlık; öldürüyor seni, öldürüyor beni
Yalnızlık, saklandığın o küçük delikte buluyor seni
Yalnızlık, seviştiğin o kalpsiz bedende uyuşturuyor seni
Yalnızlık, sıkıştığın o küçük evinde vuruyor seni
Yalnızlık; öldürüyor seni, öldürüyor beni

Yalnızlık çağının kalbi kırık çocukları
Yalnızlığın o simsiyah ellerinde
Yalandan ninnileriyle büyütüyor bizi
Bir kâğıt, bir kalem, bir yanmış, bir sönmüş, bir bitmiş sigara
Hayatın bu
Sökülmüş, atılmış, kırılmış, dökülmüş hep paramparça
Yolun sonu bu",üzgün
Göksel,Depresyondayım,"11 ContributorsDepresyondayım Lyrics

Bugün evden çıkmadım, telefona bakmadım
Çok yedim, çok ağladım, arandım bi' sigara daha
Saçlarımı taradım, dudağımı boyadım
Giydim giydim çıkardım, beğenmedim, güzel olmadım

Depresyondayım, unutuldum, aldatıldım
Sevgilimden ayrıldım, çok yalnızım
Depresyondayım, unutuldum, aldatıldım
Sevgilimden ayrıldım, çok yalnızım

Kimseye kızamadım, kimseye küsemedim
Sonunda kendime küstüm, sonunda hayata
Düşündüm banka soymayı, ulu orta soyunmayı
Hayatımdaki herkesi vurmayı, affedin, depresyondayım

Depresyondayım, unutuldum, aldatıldım
Sevgilimden ayrıldım, çok yalnızım
Depresyondayım, unutuldum, aldatıldım
Sevgilimden ayrıldım, çok yalnızım

Düşündüm banka soymayı, ulu orta soyunmayı
Hayatımdaki herkesi vurmayı, affedin, depresyondayım

Depresyondayım, unutuldum, aldatıldım
Sevgilimden ayrıldım, çok yalnızım
Depresyondayım, unutuldum, aldatıldım
Sevgilimden ayrıldım, çok yalnızım

Sevgilimden ayrıldım, depresyondayım",üzgün
Teoman,Paramparça,"16 ContributorsParamparça Lyrics

Saatim yok, tam olarak bilemem
Biraz bira, biraz şarap önceydi
Nasıl oluyor vakit bir türlü geçmezken
Yıllar, hayatlar geçiyor?
Kayıp bir bavul gibiyim havaalanında
Ya da boş bir yüzme havuzu sonbaharda
Çok mu ayıp hâlâ mutluluk istemek?
Neyse zaten hiç hâlim yok

Bugün benim doğum günüm
Hem sarhoşum, hem yastayım
Bir bar taburesi üstünde
Babamın öldüğü yaştayım
Bugün benim doğum günüm
Kelimeler büyüyor ağzımda
Bildiğim tüm hayatlar
Paramparça, paramparça

Takatim yok, yine de telefona sarıldım
Son bir özür için tüm sevdiğim kadınlardan
Aradım, mesajlar çıktı kapattım
Telesekretere konuşamayanlardanım

Bugün benim doğum günüm
Hem sarhoşum, hem yastayım
Bir bar taburesi üstünde
Babamın öldüğü yaştayım
Bugün benim doğum günüm
Kelimeler büyüyor ağzımda
Bildiğim tüm hayatlar
Paramparça, paramparça
Paramparça, paramparça


Bugün benim doğum günüm
Hem sarhoşum hem yastayım
Bir bar taburesi üstünde
Babamın öldüğü yaştayım
Bugün benim doğum günüm
Kelimeler büyüyor ağzımda
Bildiğim tüm hayatlar
Paramparça, paramparça
Paramparça, paramparça
Paramparça, paramparça
Paramparça, paramparça",üzgün
Sertab Erener,Aşk,"3 ContributorsAşk Lyrics

Aşk, kaç büyümden
Aşk, dön ölümden
Aşk, bir sebepten
Gel, gir dünyama

Aşk, dön ölümden
Bir sebepten
Gir dünyama
Aşk, dön ölümden
Geç tenimden
Gel, gir dünyama

Aşk, vur yürükten
Aşk, yak gönülden
Aşk, geç tenimden
Gel, gir kanıma

Aşk, dön ölümden
Bir sebepten
Gir dünyama
Aşk, dön ölümden
Geç tenimden
Gel, gir dünyama

Gel artık
Sözüm, sabrım kalmadı
Beni duysana, duysana, duysana, duysana

Aşk, dön ölümden
Bir sebepten
Gir dünyama
Aşk, dön ölümden
Geç tenimden
Gel, gir dünyama

Gel, gir dünyama",üzgün
